safe_traffic_crash_date,safe_traffic_crash_time,safe_traffic_roadway_segment_id,safe_traffic_intersection_related_flag,safe_traffic_vehicle_count_involved,safe_traffic_pedestrian_involved_flag,safe_traffic_cyclist_involved_flag,safe_traffic_work_zone_flag,safe_traffic_weather_condition_code,safe_traffic_lighting_condition_code,safe_traffic_speed_limit_mph,safe_traffic_estimated_travel_speed_mph,safe_traffic_driver_impairment_flag,safe_traffic_seatbelt_use_flag,safe_traffic_airbag_deployed_flag,safe_traffic_injury_outcome_max,safe_traffic_tow_away_flag,safe_traffic_fatality_count,safe_traffic_crash_cause_primary,safe_traffic_post_crash_care_minutes
2014-01-01,00:00:00,SEG0000000001,0,6,0,0,0,CLEAR,DAYLIGHT,35,36.7,0,1,0,NONINCAP,0,0,DISTRACTED,147
2014-01-02,00:07:00,SEG0000000002,1,3,0,0,0,RAIN,DARK_UNLIGHTED,45,46.1,0,1,1,PDO,1,0,SPEEDING,55
2014-01-03,00:14:00,SEG0000000003,0,1,0,0,0,ICE,DUSK,35,38.2,0,1,1,PDO,0,0,DISTRACTED,98
2014-01-04,00:21:00,SEG0000000004,0,4,0,0,0,CLEAR,DAYLIGHT,40,42.6,0,1,1,PDO,1,0,REAR_END,222
2014-01-05,00:28:00,SEG0000000005,0,2,0,1,0,SNOW,DARK_UNLIGHTED,30,37.3,0,0,0,NONINCAP,1,0,REAR_END,137
2014-01-06,00:35:00,SEG0000000006,0,1,0,0,0,CLEAR,DAWN,40,33.1,1,1,0,INCAP,1,0,IMPAIRED,120
2014-01-07,00:42:00,SEG0000000007,1,4,0,0,0,CLEAR,DAWN,40,47.9,0,1,1,PDO,1,0,WEATHER,185
2014-01-08,00:49:00,SEG0000000008,1,5,0,1,0,CLEAR,DARK_UNLIGHTED,40,42.6,1,1,1,PDO,0,1,IMPAIRED,77
2014-01-09,00:56:00,SEG0000000009,0,1,1,0,0,CLEAR,DUSK,50,35.5,0,1,0,NONINCAP,0,0,SIGNAL_VIOLATION,158
2014-01-10,01:03:00,SEG0000000010,0,6,0,0,0,SNOW,DAWN,30,17.3,0,1,0,PDO,1,0,SPEEDING,59
2014-01-11,01:10:00,SEG0000000011,0,4,0,1,0,OTHER,DAYLIGHT,60,60.4,0,1,1,PDO,0,0,SPEEDING,56
2014-01-12,01:17:00,SEG0000000012,1,1,0,0,0,OTHER,DAYLIGHT,25,15.5,0,1,0,NONINCAP,1,0,WEATHER,85
