soc_access_service_date,soc_access_benefit_delivery_method,soc_access_eload_card_transactions_count,soc_access_eload_card_spend_usd,soc_access_authorized_retailer_density,soc_access_caseworker_caseload_avg,soc_access_appointment_no_show_rate,soc_access_document_verification_time_days,soc_access_language_service_request_count,soc_access_disability_accommodation_count,soc_access_office_distance_miles_avg,soc_access_mobile_office_visits_count,soc_access_website_uptime_pct,soc_access_application_completion_rate,soc_access_benefit_error_rate,soc_access_grievance_filed_count,soc_access_grievance_resolution_days,soc_access_client_satisfaction_score,soc_access_cross_program_referral_rate,soc_access_service_gap_index
2020-01-01,EBT_CARD,233817,12513199.49,21.924,581.72,15.044,23.67,8434,897,41.319,4617,85.488,45.43,9.393,6737,16.36,4.676,60.85,0.19
2020-01-02,DIRECT_DEPOSIT,1249866,8948584.19,6.041,515.52,35.342,41.2,5977,5939,27.789,4309,97.6771,66.19,9.801,3504,45.28,1.699,97.97,0.8015
2020-01-03,EBT_CARD,1010707,19438538.5,0.1903,422.94,43.866,34.44,9897,13945,38.746,2702,96.1092,98.58,5.65,3684,105.8,4.948,86.13,0.8147
2020-01-04,DIRECT_DEPOSIT,644569,21789472.19,11.451,423.22,4.812,24.66,19686,4235,26.271,5012,92.2403,77.5,6.451,6066,100.06,7.769,59.18,0.4995
2020-01-05,EBT_CARD,84150,1651590.61,19.786,289.01,29.782,28.59,18716,1539,2.633,5556,89.4374,15.93,5.912,1969,95.17,4.952,48.89,0.0666
2020-01-06,EBT_CARD,837941,57603496.81,9.258,168.27,15.464,18.34,9725,9696,13.344,408,85.6185,96.74,4.107,7552,103.71,7.085,36.27,0.1472
2020-01-07,IN_PERSON_PICKUP,515451,42857897.76,22.8611,201.83,11.466,48.46,14038,18595,16.817,1333,93.8886,52.32,11.246,1240,69.29,1.603,69.15,0.917
2020-01-08,CHECK,1737160,53140684.83,19.6111,274.71,11.951,58.48,19861,19904,27.253,563,97.9537,51.18,4.855,6428,90.53,7.803,27.15,0.2886
2020-01-09,DIRECT_DEPOSIT,1760696,57587768.22,3.3532,83.66,8.412,55.74,3220,13779,41.274,2601,85.5088,99.44,5.405,3644,46.04,5.479,18.59,0.7364
2020-01-10,DIRECT_DEPOSIT,58328,4101727.34,4.5912,58.21,28.933,50.37,15412,19968,36.521,938,94.6069,72.49,1.038,1269,45.65,2.533,34.26,0.125
2020-01-11,VOUCHER,999460,24451018.06,21.4529,209.98,12.399,58.9,22315,8795,18.541,503,96.754,52.63,6.898,4641,9.75,6.27,93.68,0.5886
2020-01-12,DIRECT_DEPOSIT,1234949,96824511.66,7.8733,348.8,20.687,44.82,9704,3485,26.358,1696,85.4511,51.08,6.423,1195,93.87,6.668,42.92,0.258
2020-01-13,EBT_CARD,1322637,48664575.29,16.1498,351.34,34.033,46.14,7920,6225,35.432,1492,90.7522,19.02,9.757,2130,67.11,0.42,8.03,0.6626
2020-01-14,EBT_CARD,965014,12926068.64,5.4885,522.5,3.37,25.52,22814,17579,36.364,3673,96.2203,23.26,5.834,4501,27.76,8.427,92.83,0.4557
2020-01-15,EBT_CARD,1300458,38219573.41,12.9163,243.08,19.939,0.51,17531,1671,5.669,806,98.1304,11.36,0.394,1315,68.92,0.665,1.77,0.6941
2020-01-16,DIRECT_DEPOSIT,395991,5224287.44,4.8757,124.8,40.195,18.11,20656,7338,40.015,422,85.8615,55.75,5.523,4509,23.97,2.85,30.76,0.7075
2020-01-17,DIRECT_DEPOSIT,1968297,123327388.65,15.3275,565.48,17.971,59.33,4648,2284,32.95,2139,95.4546,38.06,7.895,3518,70.47,0.35,9.81,0.5433
2020-01-18,EBT_CARD,644593,28616931.13,3.7198,364.93,14.766,23.3,2013,16960,2.954,3564,99.9607,72.54,1.508,5570,118.83,3.074,77.06,0.5612
2020-01-19,DIRECT_DEPOSIT,1408821,18576907.32,9.042,576.3,26.382,54.67,13844,8980,4.234,3883,99.3208,12.79,6.005,6970,13.17,3.141,78.99,0.0941
2020-01-20,EBT_CARD,1651379,16043375.55,12.9273,362.46,0.222,16.08,12726,15668,4.253,5339,92.4779,73.83,6.518,5722,96.08,1.238,30.51,0.7064
2020-01-21,IN_PERSON_PICKUP,1506867,9550237.76,7.7933,562.49,26.371,11.18,14992,1987,27.194,4754,88.792,75.76,10.666,4524,73.87,8.595,49.65,0.6395
2020-01-22,EBT_CARD,1117665,27556915.01,3.1431,325.22,25.631,41.8,551,5787,41.529,1204,97.0821,61.52,3.93,3439,74.72,5.816,9.12,0.6932
2020-01-23,EBT_CARD,1531083,105724166.7,16.8526,551.82,24.469,1.09,2330,4345,15.791,3980,94.6872,87.53,4.142,7913,91.27,0.995,12.73,0.0492
2020-01-24,VOUCHER,202780,4736606.34,9.4975,91.95,43.974,40.71,24649,9405,36.249,5796,88.3493,52.21,6.711,3810,68.96,4.286,26.49,0.8649
2020-01-25,CHECK,1670678,87727604.83,5.1032,109.45,2.298,5.12,11110,4549,31.826,3991,95.5064,82.83,1.287,877,57.01,2.631,15.44,0.1426
2020-01-26,MOBILE_WALLET,2066105,55770390.41,23.1565,117.63,0.38,8.64,2174,6714,33.503,1687,89.9375,79.21,1.12,6334,98.94,7.277,84.15,0.2959
2020-01-27,MOBILE_WALLET,2219168,149627883.71,5.9385,111.0,32.972,28.67,5924,13449,42.038,3579,93.5306,26.76,7.076,1075,52.36,7.998,63.95,0.3225
2020-01-28,EBT_CARD,211588,13035942.28,24.2816,550.1,23.356,29.47,1792,12391,44.741,2273,93.4967,16.14,11.042,1564,115.48,7.883,58.68,0.9052
2020-01-29,EBT_CARD,791000,35613245.22,6.2152,362.67,33.137,29.64,8754,926,6.101,3940,88.7548,47.73,9.104,1434,118.21,1.71,94.69,0.9953
2020-01-30,EBT_CARD,1467149,65917236.94,7.8125,52.49,3.295,54.67,23663,10163,12.213,3043,94.7729,41.26,9.206,5177,10.31,0.9,64.72,0.9699
2020-01-31,EBT_CARD,1996782,72951367.54,23.6905,581.74,41.126,0.63,5028,9842,16.015,3305,93.2,72.67,6.604,3741,112.8,5.054,55.86,0.8374
2020-02-01,DIRECT_DEPOSIT,1092166,42069046.94,16.6097,302.87,15.827,3.37,7449,15767,29.275,5540,88.9521,14.52,2.927,3235,53.26,9.885,78.04,0.8085
2020-02-02,EBT_CARD,1335475,15654930.88,6.6337,436.32,12.615,51.0,9661,4550,38.76,5752,90.0802,88.57,8.736,6634,4.89,7.1,31.29,0.9424
2020-02-03,DIRECT_DEPOSIT,1784397,88232045.25,21.6195,127.55,21.547,35.92,22835,6331,22.156,3224,93.4423,68.74,1.933,525,5.53,1.772,79.2,0.851
2020-02-04,EBT_CARD,273932,21944627.66,8.5956,551.23,2.047,31.4,11836,14633,17.402,5394,91.4284,70.78,1.999,5230,62.29,1.99,3.41,0.861
2020-02-05,DIRECT_DEPOSIT,1119775,84595127.77,15.7562,257.58,42.162,40.55,8708,2986,8.696,2905,97.8555,74.44,1.071,7339,56.31,9.248,54.85,0.8086
2020-02-06,EBT_CARD,1196702,83513547.96,15.3192,410.07,1.641,18.96,18750,5639,26.252,276,99.7006,37.26,2.51,5345,113.85,5.436,38.63,0.7345
2020-02-07,EBT_CARD,2381120,41239991.11,8.1603,50.55,4.568,19.28,22691,7266,39.323,1180,98.5977,11.59,6.791,317,25.9,1.225,82.37,0.8491
2020-02-08,VOUCHER,281878,8412332.32,20.5721,450.64,4.918,17.97,6729,1557,18.069,2567,98.6768,59.78,1.865,5611,71.19,9.611,8.86,0.0963
2020-02-09,CHECK,2188025,19566977.79,14.0548,21.16,26.386,22.66,3566,6239,37.456,3822,91.5039,14.18,10.139,5680,31.2,7.805,75.74,0.1342
2020-02-10,EBT_CARD,975726,24108065.43,3.182,161.76,21.431,51.9,13001,15580,39.796,3789,86.375,24.53,6.356,2899,57.55,6.238,92.41,0.5747
2020-02-11,EBT_CARD,2130789,70957451.08,4.091,167.68,31.247,53.55,15921,6883,41.841,2059,92.0901,11.01,8.827,6781,30.51,9.83,47.67,0.9754
2020-02-12,EBT_CARD,2107114,122165593.51,14.2583,389.34,22.101,13.32,19316,3749,2.825,1784,90.9502,80.72,10.151,1260,34.13,7.55,78.0,0.0804
2020-02-13,DIRECT_DEPOSIT,400986,4884659.3,16.0633,592.04,38.452,4.27,20734,13438,21.146,263,91.3163,89.42,4.805,2051,25.1,1.93,87.86,0.5898
2020-02-14,DIRECT_DEPOSIT,743036,41865528.22,5.82,237.43,34.077,44.49,14780,11912,29.775,5301,90.3404,17.21,8.72,1891,49.46,3.477,7.13,0.8358
2020-02-15,CHECK,1088933,55399948.52,15.1834,124.79,39.564,33.4,4914,4914,44.299,1467,96.4265,88.61,7.722,4135,33.48,1.44,54.58,0.0235
2020-02-16,MOBILE_WALLET,2065251,121339465.43,5.1915,439.05,12.422,16.57,6268,5306,20.803,4627,99.9916,55.12,1.244,2240,3.29,4.043,34.6,0.7455
2020-02-17,DIRECT_DEPOSIT,1516390,38432095.88,5.0691,462.3,37.363,5.78,5871,11140,41.637,307,95.1417,11.61,0.966,2203,92.66,0.318,47.27,0.2202
2020-02-18,CHECK,2066286,36771410.77,2.9015,21.77,34.245,29.67,23498,15854,23.396,4374,87.1338,75.57,8.237,2194,104.44,8.183,43.97,0.6315
2020-02-19,MOBILE_WALLET,2498694,197094895.85,3.0816,101.63,21.494,7.29,5558,1012,1.197,5844,94.7499,59.53,4.578,1762,79.58,1.498,48.94,0.5227
2020-02-20,DIRECT_DEPOSIT,1120458,26274288.77,16.7571,154.05,38.058,47.47,3633,14580,15.841,3375,89.079,60.77,6.635,3690,116.2,3.563,74.46,0.2729
