soc_case_report_month,soc_case_program_code,soc_case_case_id_hash,soc_case_household_size,soc_case_eligible_persons_count,soc_case_participants_count,soc_case_new_applications_count,soc_case_approved_applications_count,soc_case_denied_applications_count,soc_case_recertification_due_count,soc_case_churn_rate_pct,soc_case_average_benefit_usd,soc_case_benefit_duration_months,soc_case_overpayment_rate_pct,soc_case_underpayment_rate_pct,soc_case_fraud_referral_rate,soc_case_appeals_filed_count,soc_case_call_center_wait_minutes,soc_case_online_portal_usage_rate,soc_case_data_latency_days
2018-01,SNAP,ad8f76571f62730d,2,11,11,4961,443,3995,5206,50.094,361.22,38,2.506,12.934,1.7249,1483,116.59,83.06,43
2018-02,SECTION8,0b12e9e9ea0cb197,3,4,4,5627,3296,835,1431,32.433,951.911,61,10.814,12.084,1.356,298,5.96,29.37,44
2018-03,LIHEAP,eeee6b12c68769c3,8,2,2,7156,7156,0,1992,58.419,46.002,71,8.8,1.032,1.4616,188,90.32,21.53,8
2018-04,MEDICAID,2e356b72fada6543,7,4,4,17,17,0,7063,34.55,760.673,11,4.642,9.39,2.4903,548,126.82,10.37,29
2018-05,TANF,48cd36f1ab65349d,6,6,4,2220,608,1509,2740,50.032,384.414,55,13.638,13.778,0.0589,1079,13.55,59.19,26
2018-06,MEDICAID,f18ea2d4b8499cc2,1,12,11,11905,8235,3263,3488,32.689,1060.795,40,12.069,0.482,3.871,1953,152.61,2.4,47
2018-07,WIC,51905c9694f3920a,6,7,6,6155,4521,416,4128,54.027,1030.896,59,2.422,4.785,4.6379,2216,151.73,73.0,32
2018-08,SECTION8,a85241221763466b,6,2,2,10437,3809,5072,7986,5.816,475.767,45,1.741,2.018,0.6855,572,70.84,80.81,15
2018-09,SNAP,e0f7c5fb89941a13,3,8,7,2041,2041,0,3577,48.251,787.978,49,12.521,0.666,2.026,1096,171.46,38.47,30
2018-10,MEDICAID,956482e769ddaa77,6,4,3,11383,4077,6510,8552,44.776,1160.179,59,0.821,8.609,3.01,860,154.03,30.18,14
