soc_outcome_cohort_start_date,soc_outcome_participant_id_hash,soc_outcome_baseline_employment_flag,soc_outcome_employment_6mo_flag,soc_outcome_employment_12mo_flag,soc_outcome_earnings_change_usd,soc_outcome_housing_stability_score,soc_outcome_food_security_improvement_flag,soc_outcome_healthcare_utilization_change,soc_outcome_school_attendance_change,soc_outcome_recidivism_change_flag,soc_outcome_benefit_exit_reason_code,soc_outcome_program_completion_flag,soc_outcome_case_management_contacts_count,soc_outcome_barrier_resolution_index,soc_outcome_cost_per_participant_usd,soc_outcome_return_on_investment_ratio,soc_outcome_impact_estimate_method,soc_outcome_confidence_level_pct,soc_outcome_evidence_rating_code
2016-01-01,f8ba5539521d5a9e,0,0,1,16232.62,11.45,1,4.1699,-4.777,0,INELIGIBLE,1,67,0.4269,166.64,2.3368,DIFF_IN_DIFF,56.8,MODERATE
2016-01-02,14f466c0fbe6fa49,1,1,1,66549.5,93.86,0,1.6561,-3.385,0,OTHER,1,218,0.6649,24381.55,3.9173,MATCHING,64.29,MODERATE
2016-01-03,2be5af1d66f07f8c,0,1,1,71518.15,40.7,1,2.9662,-13.046,0,INELIGIBLE,0,41,0.9014,16862.22,-0.4857,OTHER,55.06,MODERATE
2016-01-04,a0c3ca2d535a8c01,0,0,0,-14351.62,75.93,0,0.7811,-8.825,0,EARNINGS_UP,1,233,0.2532,24192.29,7.7988,QUASI_EXPERIMENT,67.09,HIGH
2016-01-05,8db7c42d4cdf4560,1,1,0,75477.79,68.45,1,-3.8153,-7.096,0,MOVED_OUT,0,77,0.5077,7180.36,7.9321,RCT,81.22,LOW
2016-01-06,098e95b062f8ba14,0,0,1,9408.12,61.06,0,-4.1195,5.52,0,VOLUNTARY_EXIT,1,195,0.4571,9185.24,-0.9941,SYNTH_CONTROL,90.32,MODERATE
2016-01-07,b350f1f07614ff6d,0,1,1,69179.71,76.24,1,-4.5129,4.739,0,TIME_LIMIT,1,129,0.1941,3431.58,-0.2271,DIFF_IN_DIFF,70.31,HIGH
2016-01-08,de15d0455cfbf00a,0,1,0,8609.19,85.9,1,-2.7277,-6.408,1,EARNINGS_UP,0,24,0.1463,12281.99,6.8385,SYNTH_CONTROL,50.82,MODERATE
2016-01-09,37d2e07540fd949b,0,1,1,63246.55,15.29,1,1.8529,-14.01,0,MOVED_OUT,1,100,0.8991,11575.48,5.4802,RCT,55.21,LOW
2016-01-10,3f95b2842f2cf868,1,1,1,-10875.75,95.61,1,1.4591,-12.608,0,OTHER,1,253,0.7909,2129.5,1.7312,MATCHING,60.09,MODERATE
2016-01-11,981c0c3ec0dc6e33,1,1,1,-12128.0,29.93,1,4.6281,12.658,0,MOVED_OUT,0,296,0.9337,9738.75,1.8659,REGRESSION,73.35,MODERATE
2016-01-12,4e4388feeaa37627,1,1,1,39162.17,87.37,0,-0.0081,0.218,0,EARNINGS_UP,0,206,0.3751,17033.36,3.9458,RCT,50.75,MODERATE
2016-01-13,5fd14a1b7bced5bb,1,0,0,1196.15,53.49,1,3.4385,6.024,0,SANCTION,1,47,0.7205,16505.78,6.6758,MATCHING,98.18,MODERATE
2016-01-14,f67300a7fba75c41,0,0,1,30921.05,0.2,0,0.9217,-8.65,0,MOVED_OUT,0,81,0.5887,7473.38,2.5003,SYNTH_CONTROL,84.65,MODERATE
2016-01-15,be10c3cb2c38f168,1,0,0,47308.5,18.24,0,3.391,11.354,0,INELIGIBLE,1,133,0.5677,14732.0,4.3449,OTHER,98.79,HIGH
2016-01-16,167ea742baffe9e4,1,1,1,76242.44,52.41,0,2.1522,-3.814,0,MOVED_OUT,1,12,0.9386,7233.32,4.9429,OTHER,69.25,MODERATE
2016-01-17,a02afd6f67a080a5,0,0,0,10965.22,56.85,1,-3.8475,4.932,0,EARNINGS_UP,1,46,0.4278,19891.35,0.5963,SYNTH_CONTROL,65.02,LOW
2016-01-18,ef01b705c24775ff,0,1,0,-16804.19,82.96,0,4.2172,11.525,0,MOVED_OUT,1,96,0.334,7887.3,2.5693,REGRESSION,50.26,VERY_HIGH
2016-01-19,dcda69243881626e,1,0,0,5980.07,5.47,0,4.0558,13.909,1,INELIGIBLE,1,174,0.3053,15217.74,6.0135,DIFF_IN_DIFF,51.84,MODERATE
2016-01-20,68b3e5d61265a141,0,1,1,37195.77,52.01,0,-2.2405,2.856,0,MOVED_OUT,1,30,0.5586,20438.58,4.3003,DIFF_IN_DIFF,95.67,HIGH
2016-01-21,e970d702d8cb10ac,0,1,1,32131.02,91.55,0,-2.8821,14.905,0,VOLUNTARY_EXIT,1,291,0.5996,2159.84,-0.2198,DIFF_IN_DIFF,80.26,VERY_HIGH
2016-01-22,e5b101809db9843f,1,0,1,22304.32,23.95,1,-0.4092,12.866,0,OTHER,1,213,0.0018,4707.44,-0.5223,OTHER,57.43,VERY_HIGH
2016-01-23,18961988b433cc55,1,1,1,44870.89,17.7,1,3.1216,1.442,0,EARNINGS_UP,0,147,0.2574,23434.04,6.226,QUASI_EXPERIMENT,72.85,VERY_HIGH
2016-01-24,93cace8bf1fb8f9d,1,0,1,37755.33,74.97,1,1.8913,4.393,0,OTHER,1,103,0.4269,1688.88,2.6699,RCT,64.42,HIGH
2016-01-25,d6acc801fdaa1e72,1,1,0,39801.77,46.79,1,-0.9969,10.692,0,VOLUNTARY_EXIT,0,263,0.9308,5839.98,6.7944,QUASI_EXPERIMENT,76.51,MODERATE
2016-01-26,4ca74561ae04d0e7,0,0,0,8616.25,13.66,0,-1.0759,-6.121,0,OTHER,0,178,0.7653,22916.07,7.2584,DIFF_IN_DIFF,81.2,LOW
2016-01-27,8aff430ccdec9e71,0,1,0,36171.4,73.0,0,-0.3839,-4.279,0,TIME_LIMIT,0,79,0.3519,18225.2,1.9017,OTHER,59.21,MODERATE
2016-01-28,008a7b199ab85dee,0,1,1,40507.18,98.71,0,-3.4952,-8.976,0,EARNINGS_UP,0,33,0.7804,6949.04,7.3018,MATCHING,68.78,LOW
2016-01-29,2af96e53cbe04230,0,1,0,14398.69,8.99,0,-4.2703,3.779,0,EARNINGS_UP,0,169,0.8909,14542.35,2.7737,OTHER,95.33,MODERATE
2016-01-30,3256fe4ac48eeb7a,0,1,1,63650.26,63.21,1,1.8755,10.907,0,SANCTION,1,63,0.2922,15637.21,6.2204,DIFF_IN_DIFF,79.63,VERY_HIGH
2016-01-31,bf95f6ae69e110d6,1,0,1,22225.1,72.42,0,-2.0655,-9.845,0,INELIGIBLE,1,172,0.5261,9811.3,-0.8221,DIFF_IN_DIFF,70.32,LOW
2016-02-01,e53c2a2616fa9211,0,0,1,19282.2,59.7,1,0.9846,0.028,0,VOLUNTARY_EXIT,1,296,0.4378,6734.65,0.43,QUASI_EXPERIMENT,93.96,VERY_HIGH
2016-02-02,03805d571a00483a,0,1,0,67608.36,62.17,0,2.3738,-7.407,0,EARNINGS_UP,1,185,0.1924,2904.88,1.1321,DIFF_IN_DIFF,89.92,LOW
2016-02-03,2ef5daa3e43bf12a,0,0,1,-16041.71,66.83,1,-0.9949,5.935,0,SANCTION,0,90,0.0078,22064.14,7.7052,RCT,63.49,LOW
