soc_policy_policy_effective_date,soc_policy_policy_change_id,soc_policy_eligibility_rule_area,soc_policy_income_threshold_pct_fpl,soc_policy_asset_limit_usd,soc_policy_work_requirement_flag,soc_policy_time_limit_months,soc_policy_sanction_rate_pct,soc_policy_exemption_category_code,soc_policy_expected_caseload_change_pct,soc_policy_observed_caseload_change_pct,soc_policy_expected_spending_change_usd,soc_policy_observed_spending_change_usd,soc_policy_application_volume_change_pct,soc_policy_approval_rate_change_pct,soc_policy_benefit_level_change_usd,soc_policy_disparity_impact_score,soc_policy_administrative_cost_change_usd,soc_policy_stakeholder_comment_count,soc_policy_implementation_status_code
2008-01-01,POL0000000001,INCOME_TEST,159.9,57487.24,1,60,12.195,VETERAN,-1.265,-8.149,2918863978.39,1425329585.28,40.474,22.613,-97.71,-0.457,48918752.01,16399,PAUSED
2008-01-08,POL0000000002,TIME_LIMIT,315.68,34346.95,0,0,20.767,OTHER,-5.687,-2.209,2874127669.1,2466411183.63,35.829,-7.549,-149.91,-0.797,-199193430.98,4409,IMPLEMENTED
2008-01-15,POL0000000003,TIME_LIMIT,63.81,60273.42,0,60,19.053,UNEMPLOYED,5.136,-6.673,1652251248.86,2457917974.55,1.399,-24.773,209.13,1.0394,-177686337.96,19956,IMPLEMENTED
2008-01-22,POL0000000004,SANCTIONS,245.42,137912.28,0,0,10.156,NONE,-21.66,-23.689,1762587381.05,2232017005.82,-44.831,21.49,-426.68,2.6241,-64083036.14,3329,REVERSED
2008-01-29,POL0000000005,SANCTIONS,299.97,44433.61,0,48,3.003,STUDENT,20.958,6.923,-320091228.12,-1782822367.86,49.297,-17.805,34.25,-2.9565,-246759863.92,1572,IMPLEMENTED
2008-02-05,POL0000000006,BENEFIT_LEVEL,50.67,222050.64,0,36,2.772,PREGNANT,1.318,14.628,-3983351131.15,-5099936361.48,39.221,-4.974,462.28,2.2762,-183624209.58,4591,IMPLEMENTED
2008-02-12,POL0000000007,REPORTING,105.62,231471.37,1,60,9.395,DISABILITY,-15.726,-13.033,-635130391.07,496371123.31,-15.548,8.732,362.1,0.0805,-29879830.39,15862,REVERSED
2008-02-19,POL0000000008,BENEFIT_LEVEL,562.69,121787.38,0,0,9.091,VETERAN,39.494,29.947,173938099.39,205501799.3,-22.095,-20.722,57.08,1.8882,55454307.55,15427,IMPLEMENTED
2008-02-26,POL0000000009,WORK_REQUIREMENT,74.61,9189.69,1,48,5.992,NONE,35.578,35.772,1536972553.44,1029034889.6,38.335,1.374,364.98,-1.2426,-119026452.45,10170,PLANNED
2008-03-04,POL0000000010,WORK_REQUIREMENT,180.67,36716.78,0,12,2.455,OTHER,5.87,18.771,1516360012.32,3391089826.55,42.525,-7.812,-125.73,0.4641,179956398.05,10273,IMPLEMENTED
2008-03-11,POL0000000011,EXEMPTIONS,414.32,9158.51,1,0,14.107,CAREGIVER,23.201,15.272,-2610167845.48,-3965112794.81,-4.805,-23.113,191.34,-0.3112,-78395412.29,12511,IMPLEMENTED
2008-03-18,POL0000000012,INCOME_TEST,373.82,162339.18,1,48,12.274,PREGNANT,25.235,18.475,-3883245684.88,-2510424787.18,8.531,8.937,313.75,-2.1755,-154228259.66,15960,SUNSET
2008-03-25,POL0000000013,EXEMPTIONS,251.09,21296.56,0,24,8.905,OTHER,10.276,18.979,2084036426.66,2375227028.21,12.996,8.353,401.56,-2.4018,178015134.03,9120,PLANNED
2008-04-01,POL0000000014,TIME_LIMIT,345.59,123637.39,0,24,4.54,UNEMPLOYED,-0.321,13.608,1457157193.0,2748900819.28,-30.861,-4.194,-251.13,-2.2997,214660804.57,5758,PLANNED
2008-04-08,POL0000000015,WORK_REQUIREMENT,25.09,98252.32,0,36,7.055,UNEMPLOYED,10.028,7.769,-3236252078.58,-3786280455.28,43.689,-4.608,-84.96,2.0782,-208181116.78,4906,IMPLEMENTED
2008-04-15,POL0000000016,EXEMPTIONS,432.15,73183.3,1,0,0.807,NONE,20.899,20.531,413367983.16,-1434586390.44,-20.537,-4.51,416.18,-2.2175,-140039267.57,1275,IMPLEMENTED
2008-04-22,POL0000000017,RECERTIFICATION,380.13,35919.04,0,36,13.443,PREGNANT,34.376,35.611,1250216622.62,402161561.76,18.478,-13.488,-193.84,-1.896,169484082.7,17964,IN_PROGRESS
2008-04-29,POL0000000018,OTHER,350.67,184472.82,1,36,10.939,UNEMPLOYED,-31.902,-38.63,2362082064.71,1805382969.58,-36.772,-12.203,392.94,-2.5705,-10767566.43,6351,REVERSED
2008-05-06,POL0000000019,WORK_REQUIREMENT,56.09,131851.85,1,0,6.328,OTHER,24.291,16.187,-4648561195.81,-5582650048.19,41.399,-5.011,-26.08,-1.2662,-14571778.19,14226,IMPLEMENTED
2008-05-13,POL0000000020,TIME_LIMIT,97.42,53674.71,1,12,0.702,CAREGIVER,-5.388,1.719,4137070690.29,3442116278.19,-44.081,7.804,274.12,-0.9601,1695792.05,13196,IMPLEMENTED
2008-05-20,POL0000000021,ASSET_TEST,141.6,125856.78,0,12,14.969,OTHER,21.384,30.528,623571960.22,41149355.56,38.611,-16.131,375.97,2.0307,99837742.81,254,IMPLEMENTED
2008-05-27,POL0000000022,WORK_REQUIREMENT,240.57,73775.26,0,0,7.994,UNEMPLOYED,23.487,21.388,1290385109.96,1716692416.35,-4.974,-0.649,-8.95,0.7856,-17249621.4,5215,IMPLEMENTED
2008-06-03,POL0000000023,WORK_REQUIREMENT,465.3,236900.68,0,48,13.268,OTHER,36.741,26.92,-3686353102.81,-2600860871.89,-27.632,13.866,332.86,1.9005,108926049.86,7363,IMPLEMENTED
2008-06-10,POL0000000024,INCOME_TEST,221.41,127221.0,0,0,23.096,OTHER,-34.604,-45.229,1371256050.56,-610304222.59,11.038,2.801,-422.2,0.179,178823015.81,12491,REVERSED
2008-06-17,POL0000000025,TIME_LIMIT,237.41,181489.77,1,60,15.211,STUDENT,31.879,24.364,565491297.25,-406833804.96,49.525,10.028,-436.04,1.9178,-205087237.28,8599,IN_PROGRESS
2008-06-24,POL0000000026,ASSET_TEST,347.94,179495.06,0,24,10.903,OTHER,4.759,10.867,-1081866518.27,639812221.22,-43.035,24.552,-286.39,-0.562,32898647.21,13624,IN_PROGRESS
2008-07-01,POL0000000027,BENEFIT_LEVEL,114.33,32466.8,0,12,10.991,OTHER,-28.672,-25.339,-3906510269.86,-4773913222.39,47.241,-12.392,-116.33,0.5272,-63327846.87,12040,SUNSET
2008-07-08,POL0000000028,INCOME_TEST,443.43,147532.13,0,24,2.067,DISABILITY,-28.585,-40.364,-2223715230.01,-514777243.44,-33.005,4.2,-246.3,0.7129,-105792171.55,12068,SUNSET
2008-07-15,POL0000000029,BENEFIT_LEVEL,136.89,157674.34,0,36,8.251,NONE,-21.299,-26.285,1056688885.65,422465749.67,39.182,10.821,-17.32,-0.4794,-174244415.76,6279,IMPLEMENTED
2008-07-22,POL0000000030,INCOME_TEST,187.57,112749.96,1,0,4.477,VETERAN,-9.182,-8.167,-1546419017.38,-3297815760.78,10.379,18.101,390.4,-1.598,145820154.06,15969,IMPLEMENTED
2008-07-29,POL0000000031,BENEFIT_LEVEL,270.54,144803.95,1,48,6.322,STUDENT,39.508,29.645,-2282692391.21,-3297135812.66,40.416,20.577,-174.26,-0.428,-214560084.12,1840,PLANNED
2008-08-05,POL0000000032,RECERTIFICATION,319.12,220163.04,1,36,23.106,VETERAN,-16.566,-22.002,1670606933.04,2053136393.51,16.057,7.149,398.35,-0.0795,218076021.85,14,IMPLEMENTED
2008-08-12,POL0000000033,RECERTIFICATION,496.32,91817.78,0,0,13.009,DISABILITY,20.36,20.811,-1028911757.76,822955160.44,-39.529,3.828,-294.52,1.2589,-10190048.45,11243,IMPLEMENTED
2008-08-19,POL0000000034,TIME_LIMIT,44.33,249417.9,0,36,19.856,NONE,21.07,9.666,-1963846326.44,-1649534924.89,37.612,-19.591,124.47,2.5446,10857088.88,9749,IN_PROGRESS
2008-08-26,POL0000000035,INCOME_TEST,283.51,138183.73,0,0,20.31,VETERAN,12.119,11.889,-4454745885.96,-5067343572.52,-9.836,4.445,212.11,1.7589,-110508375.45,2593,PLANNED
2008-09-02,POL0000000036,OTHER,547.14,112281.98,1,60,16.926,DISABILITY,37.198,24.85,-1036136578.13,-338237965.03,-13.483,-19.585,390.03,-1.42,86152083.2,13872,IMPLEMENTED
2008-09-09,POL0000000037,ASSET_TEST,343.25,239104.04,1,48,16.754,NONE,-36.46,-30.402,-2028867402.07,-1654169967.97,47.746,-2.106,159.96,-1.8037,-140202696.07,8490,IMPLEMENTED
2008-09-16,POL0000000038,RECERTIFICATION,456.86,183021.78,1,48,10.848,NONE,-21.83,-35.984,1715604143.07,2952573562.52,20.385,-23.437,400.21,2.5818,59146945.16,8372,IMPLEMENTED
2008-09-23,POL0000000039,WORK_REQUIREMENT,380.94,150377.96,0,12,6.738,NONE,-28.852,-21.517,-404310427.09,854427687.39,41.184,-14.744,-455.56,-2.4318,-209643447.7,10773,IN_PROGRESS
2008-09-30,POL0000000040,OTHER,589.72,94356.82,0,36,0.211,STUDENT,-26.034,-35.971,2639737879.55,1829173465.59,0.843,-18.776,130.79,1.3759,-160475434.04,13661,SUNSET
2008-10-07,POL0000000041,ASSET_TEST,93.74,81859.84,1,24,19.162,STUDENT,15.044,5.966,-1519231328.91,-1800777423.07,8.351,4.793,-277.1,-2.0897,-34023966.77,8138,IN_PROGRESS
2008-10-14,POL0000000042,WORK_REQUIREMENT,496.8,121619.02,1,0,10.119,NONE,13.98,5.569,-1483970461.67,-270813571.35,48.02,-12.224,483.72,-1.5309,230692140.53,9299,IMPLEMENTED
2008-10-21,POL0000000043,WORK_REQUIREMENT,200.79,173880.61,0,0,24.888,DISABILITY,24.967,32.408,4133716939.37,2371122338.73,-16.716,-11.604,-191.49,-0.0779,-83543740.16,12126,IN_PROGRESS
2008-10-28,POL0000000044,TIME_LIMIT,348.31,166405.38,0,12,24.146,UNEMPLOYED,-13.016,-0.745,-4560630399.12,-4964649154.96,27.329,17.234,-313.61,1.6232,-195071138.38,1423,IMPLEMENTED
2008-11-04,POL0000000045,SANCTIONS,45.67,121697.62,0,24,10.87,NONE,6.359,-0.402,-3020782321.3,-2472837889.94,12.045,21.018,93.45,-2.1833,75497525.94,8529,PLANNED
2008-11-11,POL0000000046,BENEFIT_LEVEL,353.96,70071.83,0,36,4.581,NONE,-38.341,-37.934,4943589207.32,5672766550.41,-4.471,-17.045,-184.64,1.4161,77924366.64,17504,IMPLEMENTED
2008-11-18,POL0000000047,INCOME_TEST,152.71,2099.78,1,60,3.851,OTHER,14.097,22.161,-4797230327.05,-6409589403.26,30.328,18.282,232.76,-1.736,-91058885.73,9349,IN_PROGRESS
2008-11-25,POL0000000048,ASSET_TEST,451.16,54177.68,1,60,11.166,NONE,-27.157,-28.311,-978750418.02,-607594663.6,-14.638,-17.625,-161.83,-2.3483,102415896.59,12252,IMPLEMENTED
