soc_vuln_index_year,soc_vuln_community_geoid,soc_vuln_poverty_rate_pct,soc_vuln_unemployment_rate_local,soc_vuln_housing_cost_burden_rate,soc_vuln_single_parent_households_rate,soc_vuln_disability_prevalence_rate,soc_vuln_limited_english_rate,soc_vuln_no_vehicle_rate,soc_vuln_crowding_rate,soc_vuln_broadband_gap_rate,soc_vuln_health_insurance_gap_rate,soc_vuln_food_insecurity_rate,soc_vuln_violent_crime_rate_local,soc_vuln_heat_vulnerability_score,soc_vuln_flood_vulnerability_score,soc_vuln_social_isolation_index,soc_vuln_community_resilience_score,soc_vuln_resource_access_score,soc_vuln_overall_vulnerability_rank
2015,GEO00000000001,48.22,11.84,64.45,27.42,23.89,23.05,15.18,13.2,50.24,11.48,4.34,980.09,12.04,42.3,0.8796,1.42,73.66,1670
2008,GEO00000000002,11.3,28.07,36.13,2.89,19.56,39.95,14.16,15.879,0.08,11.54,35.99,1289.12,71.06,25.63,0.6095,67.59,4.12,792
2015,GEO00000000003,30.89,2.97,68.45,42.04,35.51,36.71,24.04,15.175,52.65,6.41,3.71,759.66,62.78,60.54,0.8579,38.55,39.66,593
2020,GEO00000000004,30.15,8.52,53.04,47.58,24.62,20.98,28.01,19.89,44.53,20.48,13.47,2.75,74.83,76.94,0.0315,44.82,73.02,1163
2007,GEO00000000005,18.44,9.56,51.71,18.15,30.77,32.92,20.29,1.731,13.65,19.35,5.33,4.44,34.81,73.94,0.1571,17.52,3.01,1784
2022,GEO00000000006,6.2,34.6,35.03,43.21,36.52,16.66,14.37,11.161,25.66,4.44,13.78,1114.61,31.24,66.19,0.9732,44.66,30.59,1923
2011,GEO00000000007,28.21,19.84,19.39,25.71,23.88,15.84,31.68,18.374,35.12,13.1,20.03,161.76,33.77,96.42,0.8398,56.2,35.84,1615
2024,GEO00000000008,41.1,29.42,45.29,32.54,36.95,14.86,12.29,11.095,3.42,29.14,34.06,826.9,31.15,15.57,0.8341,26.77,79.68,634
2025,GEO00000000009,47.65,26.39,67.3,8.8,15.56,15.59,38.74,12.719,46.55,12.54,35.12,207.11,73.24,84.04,0.6344,25.38,60.28,357
2024,GEO00000000010,30.76,28.03,64.02,38.42,0.22,43.22,20.21,3.177,41.62,16.6,23.44,895.61,32.0,12.26,0.5716,97.15,22.15,221
