tax_compliance_case_open_date,tax_compliance_case_type_code,tax_compliance_taxpayer_segment,tax_compliance_notice_type_code,tax_compliance_assessment_amount_usd,tax_compliance_collection_amount_usd,tax_compliance_payment_plan_flag,tax_compliance_lien_filed_flag,tax_compliance_levy_action_flag,tax_compliance_appeal_requested_flag,tax_compliance_appeal_decision_code,tax_compliance_time_to_resolution_days,tax_compliance_writeoff_amount_usd,tax_compliance_bankruptcy_related_flag,tax_compliance_fraud_referral_flag,tax_compliance_identity_theft_flag,tax_compliance_audit_method_code,tax_compliance_third_party_match_flag,tax_compliance_contact_attempts_count,tax_compliance_case_closure_reason
2018-01-01,COLLECTION,SMALL_BIZ,NO_NOTICE,3906884.84,2607350.75,0,0,0,0,DISMISSED,35,385287.06,0,0,0,NONE,0,16,PAID_IN_FULL
2018-01-02,AUDIT,SMALL_BIZ,LTR001,8913260.4,6416735.02,1,0,1,0,UPHELD,1188,1848411.89,0,0,0,OFFICE,0,11,DISMISSED
2018-01-03,FRAUD,MID_MARKET,NO_NOTICE,20938587.25,14526938.27,0,1,0,0,DISMISSED,710,3886250.11,0,0,0,CORRESPONDENCE,0,40,INSTALLMENT
2018-01-04,UNDERREPORTING,INDIVIDUAL,LTR4800,27934839.35,18242121.4,0,0,0,0,PARTIAL_RELIEF,976,7028234.68,0,0,0,CORRESPONDENCE,0,33,OPEN
2018-01-05,PAYMENT_PLAN,SMALL_BIZ,CP2000,1428535.35,246435.9,0,0,0,0,NONE,382,128580.23,0,0,0,CORRESPONDENCE,1,10,TRANSFERRED
2018-01-06,COLLECTION,INDIVIDUAL,NO_NOTICE,24975680.13,22243599.87,0,0,0,0,NONE,257,7359578.1,0,0,0,AUTOMATED,1,1,TRANSFERRED
2018-01-07,COLLECTION,INDIVIDUAL,LTR1058,23739666.49,15713145.6,1,0,0,1,NONE,714,507895.36,0,0,0,CORRESPONDENCE,0,18,OPEN
2018-01-08,UNDERREPORTING,INDIVIDUAL,NO_NOTICE,30952072.71,16215102.53,0,0,0,0,UPHELD,560,872144.72,0,0,0,CORRESPONDENCE,0,39,INSTALLMENT
2018-01-09,PAYMENT_PLAN,INDIVIDUAL,CP2000,33875714.65,19228596.01,0,0,0,0,NONE,1105,2467772.31,0,0,0,OFFICE,1,12,OPEN
2018-01-10,UNDERREPORTING,SMALL_BIZ,LTR1058,14245068.11,12039371.45,1,0,0,1,NONE,859,630392.11,0,0,0,NONE,0,40,OPEN
