tax_incent_incentive_fiscal_year,tax_incent_incentive_program_id,tax_incent_incentive_type_code,tax_incent_eligible_industry_naics,tax_incent_eligible_activity_code,tax_incent_applications_received,tax_incent_applications_approved,tax_incent_credits_authorized_usd,tax_incent_credits_claimed_usd,tax_incent_beneficiaries_count,tax_incent_jobs_promised_count,tax_incent_jobs_created_verified,tax_incent_capital_investment_promised,tax_incent_capital_investment_verified,tax_incent_clawback_trigger_flag,tax_incent_recapture_amount_usd,tax_incent_performance_reporting_compliance,tax_incent_cost_per_job_estimate,tax_incent_equity_targeting_flag,tax_incent_sunset_date_program
2019,INC000000001,CREDIT,621111,EXPORT,1826,1554,85972588.59,67224414.85,249053,116256,26147,6301398863.77,3983561818.47,0,2134844.91,8.56,2571.02,0,2030-11-06
2014,INC000000002,ABATEMENT,311811,CAPEX,751,516,1905337085.25,1204722051.05,4267,59297,38454,16686705478.78,8680942330.05,0,174480907.65,54.8,31328.91,0,2028-06-08
2012,INC000000003,ABATEMENT,541511,BROWNFIELD,812,249,1981666925.88,1409975711.78,179017,26072,7276,7100353069.98,1806292414.45,0,270583791.5,57.95,193784.46,0,2027-02-11
2007,INC000000004,GRANT,334111,LOCATION,1040,506,505921629.3,208186003.65,69359,4399,3469,17075514303.83,11268024326.43,0,23997365.3,2.54,60013.26,1,2031-08-11
2017,INC000000005,CREDIT,621111,INNOVATION,2001,1708,830351825.74,415656936.63,236240,40496,40496,18962840243.69,7835336834.78,0,46322174.88,94.84,10264.15,0,2029-01-27
2020,INC000000006,EXEMPTION,311811,INNOVATION,1171,513,1965934832.31,1229802250.74,221010,111025,32624,548297566.3,52188854.36,0,158097351.32,73.48,37696.24,0,2032-05-02
2007,INC000000007,EXEMPTION,325412,R_AND_D,1153,391,1277312504.17,1050453463.26,24599,99403,92121,425944616.78,38299553.94,1,142426658.5,67.89,11402.98,0,2033-10-15
2008,INC000000008,ABATEMENT,445110,CLEAN_ENERGY,599,185,1092057502.78,622654189.04,228308,24217,20610,13192381275.52,4406146129.64,0,60175083.75,51.53,30211.27,1,2034-09-06
2010,INC000000009,EXEMPTION,621111,HIRING,1645,1093,1638948163.51,626081330.19,125802,51840,49690,21378213215.15,12960452173.91,0,198010867.81,84.15,12599.75,1,2027-08-23
2016,INC000000010,CREDIT,541511,CAPEX,1734,1481,1668293724.75,996919182.6,103833,62508,56658,2834604698.61,2301947246.2,0,145701828.13,83.92,17595.38,1,2027-05-03
2022,INC000000011,CREDIT,311811,R_AND_D,2460,2082,89356635.51,86085477.72,142765,100351,79801,8763691430.1,3779586323.01,0,61167.61,43.11,1078.75,0,2032-01-30
2013,INC000000012,ABATEMENT,454110,BROWNFIELD,918,612,740138347.73,687474575.87,161303,51693,11474,19615398377.14,3030164016.65,0,53226761.81,65.18,59915.86,0,2027-11-24
2013,INC000000013,LOAN,237310,HIRING,2122,1648,646178358.22,664961297.01,230022,42956,18398,24725655963.43,17405744740.57,0,37604507.45,37.46,36143.13,0,2034-10-13
2017,INC000000014,CREDIT,621111,BROWNFIELD,1235,363,1128964758.16,194046018.83,76788,7258,5634,2885932384.77,1151875966.58,0,103843957.95,23.79,34441.96,1,2026-09-15
2011,INC000000015,CREDIT,445110,EXPORT,1398,547,413467265.25,129943098.36,226448,113878,77641,20581150640.2,4411691005.87,0,5149249.73,63.42,1673.64,1,2032-08-28
2022,INC000000016,ABATEMENT,454110,INNOVATION,1326,427,1460412997.3,1041080416.78,1295,115165,92481,17773226785.67,5079342581.01,0,69516846.59,34.73,11257.24,0,2029-08-26
2007,INC000000017,ABATEMENT,621111,BROWNFIELD,2451,1135,572318633.19,312546997.9,55150,65331,25622,10799561526.01,6956702122.94,1,53776184.3,33.72,12198.38,1,2029-10-30
2020,INC000000018,GRANT,454110,R_AND_D,2374,838,579652036.76,464195056.04,230598,29350,17032,5486279732.03,1899159410.57,0,86088382.51,55.08,27254.29,1,2034-01-07
2022,INC000000019,ABATEMENT,237310,EXPORT,2490,1398,1351045494.29,679080455.1,63323,44967,29772,5362987805.07,1187593712.62,0,44915288.2,10.17,22809.37,0,2034-03-10
2021,INC000000020,GRANT,311811,HIRING,1628,942,1796766802.77,1314425159.32,102739,54752,52118,14655997232.58,11463777845.63,0,55251583.12,78.1,25220.18,0,2033-08-27
2019,INC000000021,GRANT,423450,R_AND_D,2226,1555,1850706860.47,1615869218.04,55184,61067,37093,5551109569.78,3318966879.99,0,170121163.76,46.38,43562.65,1,2028-12-23
2015,INC000000022,CREDIT,445110,INNOVATION,2268,691,414458188.89,313952475.51,227641,19226,16352,8702545640.83,1199119606.83,0,28504537.46,34.26,19199.64,1,2034-01-24
2024,INC000000023,CREDIT,512110,CLEAN_ENERGY,1149,400,653396021.51,369704306.0,73836,33121,19437,23869987604.66,20725453276.66,1,97303343.46,64.37,19020.65,0,2035-06-16
2025,INC000000024,CREDIT,236220,LOCATION,1439,936,1188932489.5,1038062288.18,61634,81134,47340,15044712191.18,9687457511.1,1,162246739.92,53.25,21927.8,0,2028-05-05
2016,INC000000025,OTHER,236220,INNOVATION,2008,1754,1036693367.09,489169566.98,62802,21033,11665,15265135241.38,13497998817.52,0,134142439.67,91.5,41934.81,0,2026-03-08
2011,INC000000026,CREDIT,325412,R_AND_D,2091,1731,1846121994.57,306096437.78,206640,39814,6004,19174868717.14,6916792827.25,0,161941940.14,42.15,50982.08,0,2029-12-10
2008,INC000000027,CREDIT,325412,TRAINING,2399,998,11248174.89,4280780.4,202359,98021,59399,10991733186.85,2375993145.11,0,440677.33,96.46,72.07,0,2031-04-24
2012,INC000000028,ABATEMENT,334111,INNOVATION,2428,763,450208044.44,331816262.64,48000,71593,30278,2227657762.28,278545637.81,0,48971657.1,34.48,10958.99,1,2027-03-24
2008,INC000000029,ABATEMENT,237310,BROWNFIELD,51,47,1536236526.04,156094135.21,56352,76432,76432,21666325855.88,6977156352.71,0,229338545.01,7.5,2042.26,1,2030-10-18
2015,INC000000030,CREDIT,236220,TRAINING,1639,640,739127936.16,381005737.14,43133,97031,11652,12957799904.22,9445924000.36,0,106739971.53,81.41,32698.74,1,2033-09-20
2017,INC000000031,LOAN,445110,INNOVATION,1668,793,130507040.03,55014565.25,173839,94383,70830,2828019858.59,1336609416.22,1,9847194.14,74.81,776.71,0,2029-03-10
2012,INC000000032,REBATE,236220,BROWNFIELD,2446,1661,1844808406.8,531458402.38,71596,18227,8189,20392360428.81,4605783607.87,0,35178702.73,88.09,64899.06,0,2029-01-15
2013,INC000000033,GRANT,423450,INNOVATION,253,108,1969279659.01,2014717854.5,84351,76586,73646,14715026750.28,7645442243.33,0,78901778.88,54.64,27356.79,0,2035-12-22
2012,INC000000034,EXEMPTION,445110,BROWNFIELD,591,285,870866631.04,551325638.95,234620,8226,1580,18029797240.19,10044306644.76,0,85878459.2,46.92,348940.28,0,2031-11-07
2022,INC000000035,CREDIT,512110,R_AND_D,2275,1067,1159011208.5,1171262424.52,33040,119383,23787,11782189371.39,2016049996.22,1,71862378.88,21.0,49239.6,1,2034-10-31
2014,INC000000036,CREDIT,334111,BROWNFIELD,1726,735,761285456.2,792705780.2,126096,58826,35871,22173047928.47,11122135780.88,0,32826800.58,20.77,22098.79,1,2032-11-18
2018,INC000000037,CREDIT,237310,R_AND_D,2048,1498,464943805.81,475314453.53,225955,805,492,4562262952.31,4183222192.04,0,15506093.4,50.68,966086.29,1,2032-11-20
2020,INC000000038,GRANT,541511,HIRING,1812,1020,901755390.08,153533680.11,146181,65668,26320,21871830265.09,12718844231.35,0,4098182.0,44.6,5833.35,0,2031-11-04
2009,INC000000039,CREDIT,334111,HIRING,2377,1759,297847300.86,188270219.32,212265,84796,44032,10094572455.18,3647229564.73,1,29483692.86,1.56,4275.76,1,2026-08-20
2012,INC000000040,CREDIT,236220,HIRING,1570,823,1093081180.23,265548378.38,170069,45720,7306,9737924407.6,3862506045.58,0,48608892.48,86.45,36346.62,1,2030-01-15
2011,INC000000041,EXEMPTION,445110,INNOVATION,1941,1806,1836631982.8,1150520830.93,167648,113844,56321,12031534932.4,8428092049.93,0,195781424.34,21.68,20427.92,0,2031-07-20
2011,INC000000042,GRANT,541511,BROWNFIELD,2070,947,1474144871.27,868205050.18,113946,35343,32600,19401727359.02,5038261322.05,0,214052477.26,81.0,26632.06,1,2034-11-13
2019,INC000000043,LOAN,334111,BROWNFIELD,2357,2029,702890872.84,89336336.4,75011,34221,3555,5609122286.9,3942930702.3,0,72409722.31,84.32,25129.77,0,2028-05-17
2018,INC000000044,EXEMPTION,512110,R_AND_D,2008,954,255812223.37,198159675.71,59105,118729,118729,18627463484.79,12504145938.38,1,17409012.09,72.16,1669.01,1,2035-09-29
2019,INC000000045,REBATE,445110,CAPEX,1778,1621,727027778.23,670368020.28,22325,112457,99017,3214591807.63,423405480.91,0,35395801.53,57.56,6770.23,0,2027-04-23
2024,INC000000046,CREDIT,423450,CAPEX,584,229,73386811.51,47161881.96,244309,80517,36147,22011605872.47,6887808223.9,0,6567284.32,98.96,1304.72,1,2030-02-02
2013,INC000000047,REBATE,334111,BROWNFIELD,852,490,1877745881.4,780557384.56,26469,62155,49181,6109077041.35,2051755795.15,0,190360682.83,39.3,15871.12,1,2031-03-05
2009,INC000000048,REBATE,512110,LOCATION,13,6,1297060928.95,1324801073.41,34036,25025,8838,14955644373.53,9594848247.58,0,121487112.74,27.8,149898.29,0,2035-07-20
2013,INC000000049,ABATEMENT,454110,BROWNFIELD,1116,940,332562228.61,312412886.42,242411,110991,55256,22262990693.67,14204112021.66,0,26493163.39,43.95,5653.92,0,2026-02-21
2015,INC000000050,REBATE,325412,LOCATION,1638,889,190267266.61,188235870.39,104799,33354,13441,23751158205.49,23354837457.23,0,28024944.44,35.58,14004.6,1,2033-07-21
2021,INC000000051,REBATE,454110,CAPEX,2325,1130,1915348438.5,509068038.85,75436,10104,5109,4732442002.78,1434142121.33,0,196251322.06,27.72,99641.42,0,2028-02-08
2025,INC000000052,GRANT,454110,R_AND_D,1929,564,593287193.8,256898428.48,105692,98111,46303,2720835382.29,1151444602.55,0,4971793.11,51.36,5548.2,0,2035-11-03
2018,INC000000053,CREDIT,311811,INNOVATION,99,56,1740572040.21,1124434297.33,194558,111304,111304,9385966771.51,5291760419.62,1,49106016.83,71.72,10102.37,1,2028-04-13
2021,INC000000054,CREDIT,423450,CLEAN_ENERGY,334,205,1206618634.53,1135667206.38,108197,67665,63961,16163654099.03,10440498104.81,1,132333550.58,25.73,17755.62,1,2034-11-02
2011,INC000000055,GRANT,423450,INNOVATION,1695,1509,464262510.31,290566059.87,209192,15140,3032,2975439935.1,2842276369.0,0,3608636.06,80.83,95833.13,1,2027-02-01
2012,INC000000056,ABATEMENT,512110,LOCATION,2248,1120,1095197739.45,823300444.38,4226,57126,26641,6533234864.64,683960892.68,0,29042188.63,36.85,30903.51,0,2031-03-26
2016,INC000000057,CREDIT,311811,HIRING,129,80,963755832.54,980204930.58,195535,11479,1905,8933130896.03,1317545998.63,0,22339793.77,61.98,514543.27,0,2030-10-15
2017,INC000000058,EXEMPTION,236220,HIRING,148,116,1316030639.4,571237628.68,245683,35716,4918,5063757993.12,1598368517.81,0,182367402.27,79.92,116152.43,0,2033-05-08
2016,INC000000059,OTHER,445110,R_AND_D,1922,1323,1784928961.4,599379291.86,137238,118955,65866,21805200688.43,10193171570.09,0,6716186.55,48.3,9099.98,1,2031-01-13
2015,INC000000060,GRANT,237310,LOCATION,760,411,1989597366.41,1967342361.64,125520,40877,15144,17954888995.02,13122211937.2,0,218481017.24,76.68,129909.03,0,2029-03-21
2008,INC000000061,CREDIT,325412,CAPEX,889,242,978742591.55,593311635.3,42091,52236,11356,10922273272.21,10073615134.44,0,60746011.86,76.89,52246.53,1,2033-05-26
2020,INC000000062,CREDIT,325412,LOCATION,1267,1034,1584748620.26,1450716575.6,133561,114619,87391,9033740789.44,6381934549.85,0,78661574.88,34.37,16600.3,0,2033-10-30
2024,INC000000063,REBATE,334111,R_AND_D,319,170,46868556.51,35690636.66,98913,16609,16609,22124926435.47,19756373106.13,0,569159.23,92.09,2148.87,0,2027-08-18
2017,INC000000064,CREDIT,334111,EXPORT,989,477,547652839.79,538857846.63,228091,42659,38224,20142352875.96,11977710894.98,0,6760909.72,56.23,14097.37,0,2030-03-11
2014,INC000000065,GRANT,512110,EXPORT,2482,2232,1546517586.07,1121835923.95,183481,109903,20950,742308502.35,643952910.28,0,140890840.4,22.1,53548.25,0,2029-04-20
2009,INC000000066,EXEMPTION,334111,CLEAN_ENERGY,707,426,74174965.03,31100774.34,136685,27011,13447,23453397180.0,7388087734.97,0,4613119.41,74.91,2312.84,1,2032-10-05
2021,INC000000067,ABATEMENT,541511,TRAINING,535,244,518262754.52,467284154.53,234915,114839,46866,8664098606.08,3835890592.63,0,59245593.59,57.73,9970.64,1,2032-04-05
2023,INC000000068,ABATEMENT,236220,CLEAN_ENERGY,1562,1087,1203989106.18,296334963.8,134433,62212,49855,777585536.31,596823579.92,0,119411121.77,9.36,5943.94,0,2026-06-13
2019,INC000000069,CREDIT,454110,CLEAN_ENERGY,725,506,334771926.12,286930572.94,160523,17557,16023,6922382488.96,2349593435.17,1,2937470.17,43.87,17907.42,0,2027-09-27
2007,INC000000070,CREDIT,236220,EXPORT,1743,641,1437624789.5,1372050283.97,170909,92894,59788,7089039980.28,2763239545.33,0,9713108.86,26.6,22948.59,0,2029-02-16
2011,INC000000071,EXEMPTION,454110,CAPEX,2035,1057,501683030.74,379742729.14,248800,37111,14400,14394894226.37,4689379635.57,0,74523325.84,85.03,26371.02,0,2028-10-28
2013,INC000000072,GRANT,237310,INNOVATION,423,239,187709388.56,118657071.33,121298,24003,19107,9813575468.33,2036448417.23,0,20763249.63,70.19,6210.14,0,2033-09-15
2019,INC000000073,CREDIT,334111,CLEAN_ENERGY,20,13,1238607105.83,229238702.38,126706,116615,31861,2283105070.42,2058956531.71,0,142841036.13,40.52,7194.96,1,2028-03-27
2010,INC000000074,GRANT,236220,TRAINING,1349,367,1964271054.36,1183000632.87,36392,19271,7681,10701284892.72,5612507105.91,0,109814372.86,23.3,154016.49,0,2028-12-05
2024,INC000000075,REBATE,325412,R_AND_D,1277,523,1910201395.97,833028347.45,107153,24029,9586,21096971797.59,14873023034.05,0,114889114.17,7.9,86900.52,1,2032-09-02
2022,INC000000076,CREDIT,325412,R_AND_D,2014,1272,586285584.23,119768373.14,162299,26169,15712,19081794469.01,11973559512.68,0,53055851.79,56.37,7622.73,0,2029-12-27
2021,INC000000077,CREDIT,237310,BROWNFIELD,370,183,108575988.71,17674528.37,131918,98122,57647,5466742480.57,2393001826.42,0,2983677.65,9.12,306.6,1,2032-10-01
2012,INC000000078,CREDIT,325412,EXPORT,2404,1707,1606460248.68,1114203256.34,191974,104232,90637,13635103980.2,5763604597.08,1,22851985.81,12.64,12293.03,1,2033-02-16
2011,INC000000079,LOAN,423450,BROWNFIELD,391,230,1652637174.95,1279479603.25,22419,48394,6760,17297780307.07,12724489789.34,0,219511484.94,97.59,189272.13,0,2028-10-14
2008,INC000000080,OTHER,423450,CLEAN_ENERGY,427,382,1532090438.75,1430459246.7,249580,34316,9823,18720410934.36,15082054084.39,0,157744175.11,45.56,145623.46,1,2029-05-16
2014,INC000000081,CREDIT,423450,R_AND_D,607,344,1339738337.95,584496112.52,32998,64701,41742,23527503863.53,15472058204.39,0,94971159.28,81.4,14002.59,0,2033-05-09
2016,INC000000082,CREDIT,237310,LOCATION,1889,1728,838547085.3,565518584.95,245665,30985,26908,674100418.84,633979402.42,0,79046078.9,45.91,21016.75,0,2033-04-24
2021,INC000000083,ABATEMENT,236220,LOCATION,2118,1974,659148771.82,441840006.14,148753,8699,8193,13022058283.15,2614974056.44,0,24214811.6,35.79,53928.96,0,2033-07-10
2014,INC000000084,REBATE,445110,CAPEX,856,442,1169171118.03,722468851.49,177687,65020,15430,607525468.4,372666434.68,0,104657129.39,32.33,46822.35,1,2029-02-01
2014,INC000000085,ABATEMENT,512110,HIRING,1284,830,1714708489.66,1006666853.29,136428,59004,59004,22429916816.67,21456691732.11,1,7055265.48,17.34,17060.99,0,2035-10-18
2021,INC000000086,GRANT,423450,LOCATION,532,386,1829309239.48,1148192765.79,31242,88851,18740,19285581192.78,15952792713.88,0,136077939.24,45.44,61269.62,1,2035-06-21
2011,INC000000087,CREDIT,334111,CAPEX,2012,1129,374876660.92,99176074.24,234007,49507,49507,20372850828.77,3510262009.23,0,39606010.38,6.37,2003.27,0,2026-07-21
2018,INC000000088,GRANT,541511,CLEAN_ENERGY,1638,798,837810844.74,655984688.81,162366,103611,94317,1001271213.64,166235420.32,0,71194477.87,76.52,6955.11,0,2032-09-24
2012,INC000000089,CREDIT,334111,LOCATION,398,147,1785366295.67,1251467074.3,108740,113458,38940,16486358514.03,9281793773.88,0,204102701.61,50.84,32138.34,1,2026-09-20
2008,INC000000090,CREDIT,237310,LOCATION,2286,1029,1405492082.45,1144082020.82,101482,72599,20962,3870020633.75,721735679.08,0,167947809.07,75.6,54578.86,1,2035-04-05
2008,INC000000091,REBATE,621111,EXPORT,281,227,970507856.28,663104692.88,44969,73235,38749,128615155.35,80672902.94,0,140613333.87,97.95,17112.82,0,2035-10-22
2015,INC000000092,ABATEMENT,512110,TRAINING,1316,432,362680038.96,136158274.15,73440,16803,8578,20143340976.03,18973496960.52,1,42105128.94,73.62,15872.96,0,2035-05-22
2011,INC000000093,CREDIT,445110,HIRING,1627,540,761925864.59,648969136.8,150827,44051,36962,23090992431.85,22152537210.61,0,68104649.74,14.05,17557.74,0,2029-09-21
2021,INC000000094,ABATEMENT,621111,INNOVATION,139,110,1032686389.7,464899729.22,176524,117721,97308,9176948501.37,6918793493.86,1,135183532.4,42.99,4777.61,1,2026-03-24
2016,INC000000095,CREDIT,334111,TRAINING,2104,1071,1807904184.42,1440539471.78,219830,31198,28072,6806073534.71,5916783091.67,0,267091687.17,33.93,51315.88,0,2034-07-16
2025,INC000000096,CREDIT,334111,LOCATION,833,511,1874242356.28,374343930.98,233090,4547,1380,15603323148.94,3865818164.39,0,244795289.28,36.29,271263.72,1,2027-03-31
2024,INC000000097,LOAN,423450,R_AND_D,2227,1735,480355399.06,342702805.4,181689,62446,37196,2174103367.59,1949588003.97,0,9072417.67,7.79,9213.43,0,2032-11-13
2023,INC000000098,CREDIT,236220,CLEAN_ENERGY,2055,587,1813716917.52,1352721173.9,20632,79481,44146,10665323868.04,6369069457.94,0,193805116.7,58.99,30641.99,0,2030-11-25
2015,INC000000099,ABATEMENT,236220,EXPORT,956,698,746722468.54,552295315.81,199793,36846,27917,5700060087.23,2170743361.57,0,71857876.87,67.17,19783.48,1,2029-07-16
2014,INC000000100,GRANT,236220,CAPEX,195,103,462563970.33,431193027.15,124093,86122,59842,2976147919.08,909450200.25,0,23714969.01,49.03,7205.53,1,2026-01-04
2010,INC000000101,ABATEMENT,311811,TRAINING,2398,607,764132798.98,296692238.82,117908,31162,6957,16187447391.86,11744347088.25,0,111772365.28,95.85,42646.58,0,2033-12-05
2007,INC000000102,GRANT,512110,HIRING,560,470,1604585244.87,835169226.68,189613,32621,29748,4679059272.37,2885321673.07,0,176782054.19,88.46,28074.8,0,2034-07-01
2021,INC000000103,EXEMPTION,334111,CAPEX,1202,504,753359737.17,779506651.51,36321,20589,17978,11420328249.1,9538214845.96,0,85170125.59,60.61,43358.92,1,2027-06-11
2024,INC000000104,CREDIT,621111,HIRING,2242,677,571807014.67,192365109.24,113813,26597,15134,1868934486.6,1464047145.04,0,13465584.91,14.93,12710.79,0,2033-04-07
2011,INC000000105,CREDIT,236220,HIRING,462,159,307612743.22,298529960.41,116521,34065,23473,9052297310.72,2995577864.56,1,7577900.61,60.95,12718.01,0,2034-08-30
2010,INC000000106,EXEMPTION,334111,TRAINING,1174,1104,1669774942.25,1034254902.51,174589,6830,3274,156798609.96,41561281.31,0,49576894.7,26.83,315899.48,0,2028-07-19
2007,INC000000107,OTHER,512110,R_AND_D,2446,1266,18759526.2,17308903.19,191698,91966,17817,22870855545.6,23084025516.54,0,2167494.38,19.24,971.48,0,2030-03-19
