tax_income_tax_year,tax_income_agi_bracket_code,tax_income_return_count,tax_income_total_agi_usd,tax_income_taxable_income_usd,tax_income_total_tax_liability_usd,tax_income_effective_tax_rate_pct,tax_income_payroll_withholding_usd,tax_income_self_employment_tax_usd,tax_income_capital_gains_net_usd,tax_income_qualified_dividends_usd,tax_income_retirement_income_usd,tax_income_itemized_deduction_total,tax_income_standard_deduction_total,tax_income_earned_income_credit_total,tax_income_child_tax_credit_total,tax_income_audit_rate_pct,tax_income_underreporting_gap_estimate,tax_income_refund_amount_total,tax_income_processing_time_days_median
2021,AGI_100K_200K,2745737,6493632455609.6,5822050933559.88,233535684950.87,3.596,211738858172.98,55959308272.23,481563209674.49,37071411275.27,242260385160.06,975082495285.56,916581960377.12,3235050987.13,30220305800.63,0.98,166283926555.35,9097762689.97,100
2016,AGI_200K_500K,521541,2093237888353.09,1354002205583.2,332071528364.47,15.864,217306907289.25,7126708787.8,42307748117.41,5430858458.75,133971055272.72,99320137102.31,86224470655.21,11907865021.11,13412891141.7,1.905,43201474491.47,425460222900.18,91
2022,AGI_50K_75K,666199,1024928420039.44,473803731450.34,88285731935.78,8.614,38146192475.78,18851192959.05,46487345343.35,2804550143.73,81988156404.69,9370493749.44,114209147982.61,8425950007.09,18584773139.51,2.442,124049260595.86,315984470193.05,117
2020,AGI_0_25K,3319868,7600909095714.93,4789504070187.27,812527720395.95,10.69,460305301646.46,40115988114.91,362882187061.09,72255675485.12,699946736903.46,414265572850.43,660041787652.37,419966855.34,692061156.19,1.006,297309186896.32,324054165930.89,37
2006,AGI_200K_500K,3828471,2661352967302.92,1215265949895.43,338609026881.16,12.723,273237476258.1,49085873123.71,96771895907.78,4168740950.24,110141376609.3,62330854260.57,214738482251.52,10014646255.26,10422715902.49,1.877,30385389063.11,480711870374.69,71
2006,AGI_100K_200K,4983189,5251837659159.74,2527222459315.63,372622353377.05,7.095,218670014936.64,78421483135.76,408261787751.5,126051293957.98,33645259336.97,439848986718.98,305952844433.39,8267337253.56,22535346962.79,3.437,271234621996.31,54308526655.21,39
2010,AGI_100K_200K,5477808,1282070915240.22,661306219311.43,122942387141.4,9.589,97496136551.57,16235473321.88,22253764168.5,36044775733.21,38111363346.41,102855386522.55,36466861305.24,5054346969.21,4344397842.6,1.993,253123261683.34,355856481392.36,55
2019,AGI_75K_100K,849487,8266837248007.65,3888556018782.09,857856532992.36,10.377,344052411743.24,92487265499.78,423866201564.37,167827890673.92,312630746807.84,533475108891.8,678621528825.94,3312008434.34,25732471861.32,0.28,196054960978.27,277285184499.1,93
2012,AGI_0_25K,7831855,2887179723052.78,1609683438217.81,126726415959.39,4.389,100459734505.06,43090408054.58,133688076667.81,66365397052.38,273068152192.17,65230688723.09,437919968757.19,11523502637.27,23768217124.15,0.035,97280523334.51,207634317442.09,77
2013,AGI_25K_50K,2325041,6984813364811.7,5903006005710.86,1065986448629.06,15.261,1003838942548.19,42704033959.9,311436745256.62,28420528052.32,188380336121.97,555632942178.74,593323136478.12,7804144403.18,14914422432.02,1.347,160089648127.9,282170233652.22,45
2018,AGI_75K_100K,2447135,2727616159064.24,2432096885304.52,355010151160.46,13.015,286682700856.27,40641037429.76,68026204531.54,76578697686.77,45419794833.42,145382751661.06,365991410894.21,1339218685.88,32218753038.85,3.259,194755604090.25,240942549714.64,67
2006,AGI_200K_500K,2016479,3456428752910.24,2955330836192.73,769146207027.38,22.253,685993993950.72,64671060376.61,158339855530.63,58705707124.14,93591774007.52,369128363658.88,628866348449.06,1208692316.24,21701925854.07,3.152,185870952568.33,213736649269.6,35
2012,AGI_0_25K,864899,4128152982574.14,3158178032403.24,574535233190.57,13.917,416678186966.14,51480852411.03,273168289539.48,17894038308.26,300154001088.96,59768783307.02,606578277526.19,3429961119.43,28589703931.85,3.35,201665940506.28,271685843251.7,71
2016,AGI_75K_100K,3464937,7122402620477.09,5922964729887.26,1720842797987.37,24.161,1060425312175.55,27900730922.98,375104506096.76,44613535055.61,502184891448.81,26406545910.0,546985680980.29,6289934711.17,9146902610.62,1.456,103607466070.92,296672602104.01,5
2014,AGI_200K_500K,933117,5741932301388.74,3308497096809.51,983175451082.16,17.123,919119636269.64,69869118071.66,147201864352.26,26573846704.35,128952342997.98,458236522611.02,489003920795.99,9315692603.72,19513029472.06,0.062,12516759166.48,436063977254.92,30
2016,AGI_75K_100K,1255836,6439060090481.41,3943862803745.07,566152475574.34,8.792,383560155432.77,75481247327.88,193889149538.43,3486080775.86,303128409001.93,664655638369.37,722085053709.58,6600370679.72,17103781644.71,1.734,238613026712.11,352968327807.14,73
2021,AGI_0_25K,7656166,1291785345384.16,1129583644297.31,274621621720.43,21.259,118318110407.9,4384461151.85,86001412778.25,15892475867.31,117463261980.03,118543105067.48,289483524797.57,11061511112.68,9308414729.83,3.024,22252210286.53,112285834887.79,53
2008,AGI_75K_100K,7065486,3150725945866.86,2514890130332.43,327447398456.71,10.393,180556873271.65,47200731295.95,163518292157.19,35614656007.75,73760822961.36,75036003761.84,214228908393.03,9106469231.86,20939648230.47,1.238,127243889566.35,131869524211.71,88
2010,AGI_50K_75K,4711421,5609034062327.69,2866491978793.91,368280486808.38,6.566,268480694680.66,26242068131.13,3140817026.25,114822901962.69,130590231909.09,207830570569.29,612298890428.08,6923143717.07,30203953719.87,1.971,42368625952.9,499661743444.54,52
2011,AGI_200K_500K,896575,2300402737060.88,1443588826529.2,431315140909.35,18.75,291906426537.29,26089137860.79,139789566533.9,23049759726.71,19812525736.38,19498037812.97,397968470434.99,1635203358.12,12498335594.52,0.402,255261129122.49,188821671992.64,70
2017,AGI_100K_200K,3752590,5519247388048.27,4840867255321.74,519289622204.92,9.409,196998291935.3,20327536274.82,114618215166.59,57238501653.46,355893797161.86,244376180018.39,922411085622.55,255773983.23,11173044772.05,0.259,245602346516.76,283965530248.95,86
2022,AGI_50K_75K,3301903,1884634417879.21,1006949350161.49,196321771026.28,10.417,115736121973.38,9008931037.78,78192097043.35,24395802456.85,141975086234.7,40680241874.38,220717405843.64,6208022158.11,1925647237.11,1.813,217489469267.85,296359042958.19,119
2008,AGI_100K_200K,24755,5629158463110.62,4168875968336.68,969272403712.51,17.219,877458451938.93,21343490353.18,108327548882.42,8156843797.54,528105222545.96,280544715602.54,528034313993.68,3118323908.64,1948569207.89,3.205,30266830492.22,8892088222.88,97
2013,AGI_100K_200K,3665239,5039555421409.33,4067277922983.57,504561491362.0,10.012,284696818040.23,42674753448.57,270794276399.86,141524843009.58,419326551694.9,518461352340.84,976903403957.56,10916541520.39,4091277504.49,0.531,156219928276.78,407062354116.77,81
2011,AGI_500K_1M,4938364,83869376040.99,56746144950.7,12040589411.49,14.356,9829380893.62,522990078.61,6680489527.44,1519856431.48,8094926984.85,2377240707.86,9170169199.62,2315970545.95,25767835275.79,2.08,291788609820.72,455159025659.67,3
2013,AGI_200K_500K,623474,7600767153076.06,3426968744943.98,419068899512.27,5.514,168223380051.3,126235967314.39,106831608308.43,176860688977.46,547561443912.38,45981666140.86,531888993939.54,1315707917.51,15970473620.01,3.196,107738967505.14,297624524579.3,114
2007,AGI_100K_200K,7264809,4498610073426.46,3457403469460.68,470676356729.88,10.463,356108270866.14,26633055036.8,171887187340.0,69872801787.18,363855195936.78,350053319215.44,431597393006.8,6855059489.51,22929578709.27,2.819,298190503091.32,221625336020.49,102
2014,AGI_25K_50K,7692559,5499937559609.49,4243846200189.11,243142770065.26,4.421,186698443918.18,62730268058.98,31385373123.73,42429106725.2,526423870960.04,15066651810.99,1109354198474.74,11989330226.06,18932328319.52,0.667,204301778243.34,374171306441.99,28
2021,AGI_75K_100K,1243168,6735431257263.53,3847024030084.41,859886092828.32,12.767,650580805868.76,31529669825.95,128914453811.72,109003976293.93,143761897313.68,203287413445.8,381159271432.0,4674426546.41,34667777505.26,0.622,255698841439.19,185125962148.45,85
