tax_property_assessment_year,tax_property_parcel_geocode,tax_property_property_class_code,tax_property_assessed_value_total,tax_property_market_value_estimate,tax_property_tax_rate_millage,tax_property_tax_bill_amount_usd,tax_property_homestead_exemption_flag,tax_property_senior_exemption_flag,tax_property_disabled_exemption_flag,tax_property_appeal_filed_flag,tax_property_appeal_outcome_code,tax_property_assessment_ratio,tax_property_equalization_factor,tax_property_delinquency_rate_pct,tax_property_foreclosure_initiation_flag,tax_property_tax_increment_district_flag,tax_property_school_levy_share_pct,tax_property_municipal_levy_share_pct,tax_property_payment_plan_enrolled_flag
2013,PARCEL0000000001,VACANT,56543672.99,69422693.48,22.2588,1259268.16,1,0,0,1,PENDING,0.701,1.2036,9.41,0,0,0.2201,0.4334,0
2022,PARCEL0000000002,RES_SF,101962313.3,118468140.54,21.684,2124686.01,0,0,0,1,NONE,0.604,0.9587,4.15,0,0,0.4534,0.3916,0
2010,PARCEL0000000003,RES_SF,214904766.27,279003521.65,31.773,6801920.42,1,0,0,0,NONE,0.5027,0.9089,0.68,0,0,0.3894,0.5682,0
2018,PARCEL0000000004,RES_SF,12840936.9,12954297.69,14.355,183074.84,0,1,0,0,INCREASED,0.5332,0.8647,0.46,0,0,0.3988,0.5425,0
2023,PARCEL0000000005,COMM,120745796.26,106122353.73,26.5634,3351078.46,0,0,0,1,PENDING,1.1633,0.8629,10.15,1,0,0.2777,0.2952,0
2012,PARCEL0000000006,RES_MF,102836482.41,138267821.76,41.0345,4022388.35,1,0,0,1,REDUCED,0.7147,1.172,11.73,0,0,0.539,0.1974,0
2011,PARCEL0000000007,RES_SF,219872554.8,232405589.89,21.6736,4754586.78,0,0,0,0,INCREASED,0.9167,0.9881,10.32,0,0,0.2191,0.6086,1
2006,PARCEL0000000008,COMM,143761367.54,165724774.6,22.0121,3253115.08,1,1,1,0,REDUCED,0.653,0.9206,17.02,0,0,0.339,0.517,0
2020,PARCEL0000000009,RES_SF,15172547.96,14444117.95,38.2781,556529.12,0,0,0,0,WITHDRAWN,0.7006,1.0405,2.5,0,0,0.6368,0.2712,0
2009,PARCEL0000000010,RES_SF,164645207.23,159959865.42,1.3153,233517.35,0,0,0,0,UPHELD,0.7075,1.1184,0.49,0,0,0.7357,0.1626,0
2024,PARCEL0000000011,RES_SF,40548983.06,40832033.41,36.2585,1493774.88,1,0,0,0,UPHELD,0.693,0.8931,17.31,0,0,0.39,0.3268,0
2015,PARCEL0000000012,RES_SF,73614300.22,84031247.19,14.3633,1084242.18,1,0,0,0,NONE,1.1091,1.0385,13.22,0,1,0.353,0.3995,0
2016,PARCEL0000000013,RES_SF,226345937.23,235653542.48,9.4013,2161778.15,1,0,0,1,PENDING,0.5694,1.0232,14.55,0,0,0.5425,0.3678,0
2022,PARCEL0000000014,COMM,64115531.77,69498152.1,16.3234,984864.15,1,0,0,0,UPHELD,0.5049,1.2465,12.01,0,1,0.546,0.371,0
2017,PARCEL0000000015,RES_MF,134804410.97,150049195.02,42.046,5412433.85,0,0,0,0,NONE,1.0012,0.8672,12.63,0,0,0.4313,0.4224,0
2019,PARCEL0000000016,RES_SF,60969896.14,65439357.08,23.9086,1431679.95,1,1,0,0,NONE,0.8982,0.9133,9.19,0,0,0.643,0.32,0
2019,PARCEL0000000017,IND,187715302.52,170055475.27,37.1418,7133037.86,1,0,0,1,REDUCED,0.9084,1.1868,1.38,0,0,0.5026,0.3028,0
2021,PARCEL0000000018,RES_SF,60393709.93,69978737.41,0.6805,43931.78,1,0,0,0,REDUCED,0.6102,1.2064,5.3,0,0,0.2439,0.3717,0
2014,PARCEL0000000019,RES_SF,171563366.46,181077739.59,32.9449,5703769.48,0,0,0,0,WITHDRAWN,0.9079,0.9144,5.79,0,0,0.6704,0.1648,0
2024,PARCEL0000000020,MIXED,149001278.2,139428103.54,39.7787,5579263.94,1,0,0,0,REDUCED,1.0875,0.8754,5.88,0,0,0.676,0.1518,0
2009,PARCEL0000000021,RES_SF,122316851.87,129704818.49,39.8821,5129858.55,0,0,0,0,NONE,1.0026,1.1641,6.62,0,1,0.4875,0.2188,0
2023,PARCEL0000000022,COMM,178185176.89,223595893.56,30.4613,5604032.72,0,1,0,0,NONE,1.1795,1.1897,9.2,0,0,0.2787,0.5388,0
2018,PARCEL0000000023,MIXED,231148336.72,229896572.26,26.7002,5933469.56,1,0,0,0,PENDING,0.7167,1.2142,3.68,0,1,0.615,0.1975,0
2022,PARCEL0000000024,RES_MF,78005663.12,93352451.97,21.6658,1804360.69,1,0,0,0,UPHELD,1.1884,1.2025,1.26,0,0,0.2123,0.3321,0
2023,PARCEL0000000025,RES_SF,7965819.42,10456383.48,10.6696,81188.83,1,1,0,1,NONE,0.8331,1.0585,3.42,0,1,0.1757,0.5665,0
2017,PARCEL0000000026,COMM,80716181.7,95978673.21,25.939,2017418.07,1,0,0,0,WITHDRAWN,1.0558,0.9326,6.46,0,0,0.5974,0.3703,0
2022,PARCEL0000000027,RES_MF,176831702.76,204685257.22,23.9155,4183590.77,1,1,0,0,PENDING,0.7271,1.1746,10.21,0,0,0.6351,0.1883,0
2008,PARCEL0000000028,MIXED,31299423.82,38672552.57,39.0459,1298203.86,0,0,0,0,REDUCED,0.7686,1.2002,3.1,0,0,0.2163,0.3398,1
2020,PARCEL0000000029,RES_SF,21264435.85,20071921.19,43.664,882962.59,0,0,0,0,NONE,1.0031,1.0697,8.32,0,0,0.4765,0.4215,1
2019,PARCEL0000000030,IND,176990811.6,238421598.15,4.8813,822852.88,1,0,0,0,REDUCED,0.5191,1.1928,12.17,0,1,0.4886,0.4533,0
2012,PARCEL0000000031,RES_SF,85169305.32,96490577.63,14.2913,1121357.64,1,0,0,0,UPHELD,0.5046,0.9591,8.83,0,0,0.5463,0.2186,0
2015,PARCEL0000000032,RES_MF,234251655.55,265309051.34,35.8098,8859222.5,1,0,0,1,NONE,1.0059,0.9817,2.61,0,0,0.7376,0.1931,0
2014,PARCEL0000000033,RES_SF,181750238.07,177594968.53,3.0524,550067.02,0,0,0,1,WITHDRAWN,1.0109,1.2349,9.62,0,0,0.2322,0.5854,0
2013,PARCEL0000000034,VACANT,111565142.54,106212151.76,18.6931,2148280.05,1,0,0,0,PENDING,1.0784,0.858,3.27,0,1,0.5687,0.1887,0
2012,PARCEL0000000035,AG,72541053.14,88140365.61,26.8216,2062565.91,0,0,0,0,PENDING,0.7089,1.2241,17.52,0,0,0.6667,0.2756,0
2018,PARCEL0000000036,RES_SF,215783506.79,188562224.54,27.7877,5982790.87,0,0,0,1,WITHDRAWN,0.7398,1.1414,6.15,0,1,0.5335,0.2236,0
2012,PARCEL0000000037,RES_SF,228493097.26,226709305.39,25.3586,5436922.99,1,0,0,0,REDUCED,0.6523,0.9172,12.47,0,0,0.366,0.3167,0
2019,PARCEL0000000038,RES_SF,233419452.79,199513934.95,21.8734,5491819.06,1,0,0,0,UPHELD,0.6692,1.1055,8.76,0,0,0.3265,0.5809,0
2008,PARCEL0000000039,RES_SF,245752408.73,266960664.81,37.0085,8733034.38,1,0,0,0,REDUCED,0.86,0.9392,3.85,0,0,0.3858,0.3739,0
2017,PARCEL0000000040,AG,25106142.6,23876727.8,33.2439,803558.99,1,0,1,0,REDUCED,1.134,1.2141,0.87,0,0,0.3792,0.3997,0
2020,PARCEL0000000041,RES_SF,64899670.08,67793412.44,16.5136,1056369.98,0,0,0,1,REDUCED,0.7389,1.0279,11.11,0,0,0.5517,0.2017,0
2023,PARCEL0000000042,RES_MF,84228983.88,102138908.36,21.877,1705213.78,1,0,0,0,NONE,0.7892,1.0891,1.93,0,0,0.2823,0.4546,0
2012,PARCEL0000000043,RES_MF,7107768.33,6798218.0,23.2721,177432.51,0,1,0,1,NONE,0.5192,1.0073,3.11,0,0,0.4167,0.339,0
2006,PARCEL0000000044,MIXED,6418003.73,6368956.3,44.0157,266298.86,0,0,0,1,NONE,1.1996,0.8868,16.54,0,0,0.5505,0.3319,1
2025,PARCEL0000000045,RES_SF,189064965.33,186999312.89,30.7676,6157297.18,0,1,0,0,REDUCED,0.8764,1.0857,2.01,0,0,0.4648,0.2404,0
2014,PARCEL0000000046,RES_SF,50769194.76,49364820.89,26.3976,1276911.96,0,0,0,0,UPHELD,0.7937,1.2325,13.4,0,0,0.2253,0.4419,0
2008,PARCEL0000000047,COMM,193163848.2,177345564.04,39.1986,7199243.14,1,0,0,0,REDUCED,0.6127,1.1006,0.69,0,0,0.1752,0.4579,0
2010,PARCEL0000000048,RES_MF,150167645.16,150658579.74,1.2486,184342.59,1,0,1,0,NONE,0.8782,1.1847,7.57,0,0,0.5414,0.3799,0
2017,PARCEL0000000049,RES_SF,173679326.83,230601875.25,38.6315,7128634.12,1,0,0,1,PENDING,0.8723,0.9815,1.72,0,0,0.2625,0.3914,0
2019,PARCEL0000000050,RES_SF,9736908.27,10153318.94,4.1661,38715.7,1,0,0,0,NONE,0.9525,1.0078,16.36,0,0,0.5161,0.4076,0
2007,PARCEL0000000051,AG,99167016.07,119888682.2,2.4205,256756.9,1,0,0,0,INCREASED,0.8244,1.06,5.78,0,0,0.1631,0.5583,0
2015,PARCEL0000000052,RES_SF,92155281.41,81001422.11,20.6828,2028505.28,0,0,0,1,NONE,0.7756,1.0902,8.27,0,0,0.2714,0.4582,1
2021,PARCEL0000000053,RES_SF,212922100.89,194178115.85,33.713,7012319.81,1,0,1,0,REDUCED,0.7563,0.9142,7.12,0,1,0.6319,0.3024,0
2007,PARCEL0000000054,VACANT,1725988.31,2011374.37,16.6466,30408.79,0,0,0,1,NONE,0.6006,1.2253,16.36,0,1,0.4809,0.2571,1
2021,PARCEL0000000055,COMM,124130213.5,139457856.49,38.9983,5089450.13,1,0,0,0,WITHDRAWN,0.8194,1.0462,13.4,0,0,0.56,0.2495,0
2011,PARCEL0000000056,COMM,59006217.41,55378208.04,29.9915,1823920.9,1,0,0,1,WITHDRAWN,0.939,0.9726,10.14,0,1,0.5865,0.3918,0
2014,PARCEL0000000057,RES_MF,2446765.59,2122326.5,41.0192,99007.92,0,0,0,0,NONE,0.8043,1.2311,6.57,0,0,0.3417,0.5257,0
2015,PARCEL0000000058,RES_SF,155510937.31,166017474.23,18.4632,3041438.0,1,1,0,0,NONE,1.1658,1.0605,2.95,0,0,0.3294,0.4109,1
2017,PARCEL0000000059,AG,142585977.5,141919029.28,33.7514,4964461.72,1,0,0,0,REDUCED,1.0134,0.9957,0.28,0,0,0.6228,0.1548,0
2020,PARCEL0000000060,RES_SF,104343881.31,113133976.02,44.8868,4460743.18,1,1,0,1,REDUCED,0.6763,1.2302,7.74,0,0,0.6146,0.2512,0
2017,PARCEL0000000061,IND,47552135.1,53900588.4,0.8679,43901.04,1,1,0,0,NONE,0.7455,1.1716,13.85,0,0,0.596,0.2048,1
2021,PARCEL0000000062,RES_SF,51564935.0,48841312.91,21.6769,1143483.78,1,1,0,1,REDUCED,0.5818,1.2195,17.38,0,0,0.6782,0.146,0
2013,PARCEL0000000063,IND,128741490.37,136631464.65,29.388,4006979.4,1,1,0,1,REDUCED,0.5817,0.9295,0.14,0,0,0.6525,0.2386,0
2010,PARCEL0000000064,RES_SF,7785730.61,10352245.96,31.6252,240009.81,0,0,0,0,NONE,0.7332,1.0185,14.53,0,0,0.7485,0.1778,0
2025,PARCEL0000000065,MIXED,105981484.84,127457264.7,31.958,3149748.87,1,0,0,0,PENDING,1.0193,1.0343,9.98,0,0,0.4892,0.3675,0
2019,PARCEL0000000066,RES_MF,166496428.14,166858126.96,40.8618,6796344.44,1,0,0,1,NONE,0.5138,0.9352,7.37,0,0,0.35,0.5525,0
2019,PARCEL0000000067,RES_SF,28382858.88,37675092.34,0.7512,21020.55,1,0,0,0,NONE,0.6176,1.1986,8.31,0,0,0.6078,0.3494,0
2025,PARCEL0000000068,RES_SF,206960346.81,278016970.88,20.2905,4345509.36,1,1,0,0,UPHELD,1.0892,0.8801,1.33,0,0,0.1535,0.6162,1
2006,PARCEL0000000069,RES_MF,140868184.84,130521432.58,17.7061,2627527.41,0,0,0,1,REDUCED,0.9717,1.0668,17.29,0,0,0.2509,0.3285,0
2023,PARCEL0000000070,VACANT,232681826.77,303928402.45,30.6787,6580914.46,1,0,0,1,REDUCED,0.674,1.1247,12.22,0,0,0.4863,0.3656,0
2024,PARCEL0000000071,RES_SF,122770603.5,165489892.16,40.871,5376832.36,0,0,0,0,NONE,0.522,1.2332,13.73,0,0,0.697,0.2389,1
2007,PARCEL0000000072,RES_SF,135245167.93,140411719.14,11.5931,1655361.55,0,0,0,0,WITHDRAWN,0.838,1.074,11.34,0,0,0.5843,0.3092,0
2006,PARCEL0000000073,COMM,52240094.11,47572998.74,43.0095,2115635.63,1,0,0,1,PENDING,0.9607,0.8675,1.06,0,0,0.5067,0.4427,0
2013,PARCEL0000000074,RES_MF,230621611.6,268628654.25,11.9584,2723579.97,0,1,0,0,NONE,0.8188,0.9082,5.44,0,1,0.1582,0.5852,1
2012,PARCEL0000000075,VACANT,30429825.0,35770694.13,16.8885,539859.23,1,0,0,0,NONE,1.0414,1.0378,0.81,0,0,0.3063,0.3586,0
2012,PARCEL0000000076,COMM,232016481.0,231693333.13,23.0904,4962113.51,1,0,0,1,REDUCED,1.0131,1.0796,5.62,0,1,0.4511,0.2274,0
2011,PARCEL0000000077,RES_MF,106121791.86,93116109.13,43.5554,4366150.08,0,0,0,0,UPHELD,0.9308,0.911,15.61,0,1,0.6792,0.1386,0
2025,PARCEL0000000078,RES_SF,115758851.6,98873890.8,27.005,3197600.08,0,0,0,0,UPHELD,0.7189,1.1327,2.02,0,0,0.6382,0.2311,0
2011,PARCEL0000000079,RES_SF,124681435.15,164556309.28,6.0822,754711.08,1,0,0,1,REDUCED,0.6334,1.0538,14.51,0,0,0.5924,0.3547,0
2016,PARCEL0000000080,RES_MF,190148722.28,179339543.73,17.4475,3252708.75,0,0,0,0,REDUCED,0.9801,1.1491,11.59,0,0,0.1522,0.3528,0
2020,PARCEL0000000081,RES_SF,232730232.94,221557896.15,17.0372,4124637.45,1,0,0,0,PENDING,1.1351,0.9301,5.48,0,0,0.4856,0.4789,0
2014,PARCEL0000000082,RES_SF,26696998.92,27796825.23,37.3439,1052365.49,1,0,0,0,UPHELD,0.8771,0.9994,16.23,0,0,0.218,0.3234,0
2019,PARCEL0000000083,RES_SF,173621321.39,231831219.99,41.1141,7062699.91,1,0,0,0,PENDING,1.1616,1.0353,9.18,0,1,0.6618,0.2447,0
2025,PARCEL0000000084,AG,186086201.27,183909912.72,3.5042,626088.72,1,0,0,0,NONE,0.5178,1.0435,0.55,0,0,0.2822,0.6006,1
2017,PARCEL0000000085,RES_SF,179489847.12,175826466.87,31.9813,5359227.48,1,1,0,1,UPHELD,0.8184,0.8986,10.86,0,0,0.3258,0.6314,0
2007,PARCEL0000000086,RES_SF,55918464.41,63451584.76,1.0071,54708.84,0,0,0,0,NONE,0.6057,0.948,15.19,0,0,0.6698,0.3026,0
2017,PARCEL0000000087,IND,47854516.83,43326347.59,3.8131,192885.46,1,1,0,0,NONE,0.8418,0.9133,16.47,1,1,0.2433,0.3355,0
2015,PARCEL0000000088,RES_SF,149652221.76,151606562.96,41.4128,6411970.5,0,0,0,0,UPHELD,0.7213,0.9229,3.86,0,1,0.5023,0.3558,0
2022,PARCEL0000000089,RES_SF,84014004.38,96860893.07,24.4824,1911193.61,0,0,0,0,UPHELD,0.8287,1.2468,11.64,0,0,0.1551,0.5789,0
2006,PARCEL0000000090,RES_SF,190282154.0,253292384.66,24.0348,4306095.76,1,0,0,1,REDUCED,0.8862,1.2125,13.46,0,0,0.4996,0.3236,0
2016,PARCEL0000000091,COMM,96708592.69,109892951.73,31.3175,3253543.53,1,0,0,0,REDUCED,0.9818,1.2381,4.53,0,0,0.5603,0.3107,0
2014,PARCEL0000000092,RES_SF,232019894.78,209837928.37,39.1201,8853756.99,1,0,0,0,UPHELD,1.0234,1.0415,16.95,0,0,0.5121,0.3635,0
2019,PARCEL0000000093,RES_SF,53234674.64,69993889.27,30.0705,1565931.92,1,0,0,1,PENDING,1.147,1.2173,17.61,1,1,0.1802,0.586,0
2021,PARCEL0000000094,RES_SF,56185374.07,48047456.32,13.4342,752646.34,1,0,0,1,REDUCED,1.0754,0.9995,11.34,0,0,0.3454,0.3555,0
2019,PARCEL0000000095,IND,142347974.48,154671958.51,29.4636,4198534.73,1,0,0,1,REDUCED,0.9639,1.0492,13.5,0,0,0.1728,0.3635,0
2025,PARCEL0000000096,RES_SF,240350667.27,232370583.16,11.2308,2867134.5,0,0,0,1,REDUCED,0.8017,1.0154,7.3,0,1,0.4453,0.4974,0
2009,PARCEL0000000097,RES_SF,103699576.4,116110058.91,6.828,759177.36,0,1,0,0,REDUCED,0.831,1.1141,16.7,0,1,0.4352,0.4989,0
2006,PARCEL0000000098,COMM,198631164.15,252295572.43,13.2577,2480151.08,0,1,0,0,INCREASED,0.7781,1.1263,10.88,0,0,0.4973,0.2237,0
2022,PARCEL0000000099,COMM,63202964.43,80940860.17,22.0262,1476372.39,0,0,0,0,REDUCED,0.8541,1.2119,4.48,0,0,0.2065,0.4954,0
2008,PARCEL0000000100,RES_SF,18782771.43,23120693.49,13.8879,246380.18,1,0,0,1,NONE,0.9011,1.1745,13.89,0,0,0.468,0.283,0
2006,PARCEL0000000101,RES_SF,25433379.53,34255126.95,41.8938,1119554.66,1,0,0,0,REDUCED,0.6056,0.9804,7.49,0,0,0.5119,0.2509,0
2016,PARCEL0000000102,COMM,238899181.89,209027891.02,7.9011,1753718.69,1,0,0,0,WITHDRAWN,0.9898,1.2482,5.8,0,1,0.4224,0.342,0
2011,PARCEL0000000103,RES_SF,183924059.21,221522827.34,27.6046,4888905.8,1,0,0,1,UPHELD,0.8386,1.1203,2.16,0,0,0.3523,0.5282,0
2024,PARCEL0000000104,RES_SF,345789.54,389655.72,5.8216,2113.92,1,0,0,0,NONE,0.6726,0.8524,3.42,0,0,0.1834,0.5116,0
2025,PARCEL0000000105,IND,19376672.35,18620167.68,41.5036,798936.89,0,0,0,0,REDUCED,0.976,0.9443,3.15,0,0,0.637,0.3121,0
2009,PARCEL0000000106,MIXED,105069428.26,105334529.08,0.1727,17542.56,1,0,0,0,NONE,0.9412,1.1142,17.53,0,1,0.6107,0.235,1
2009,PARCEL0000000107,AG,245228420.2,320364140.49,3.217,835733.34,1,0,0,0,NONE,0.7198,1.2426,12.64,0,0,0.3428,0.3846,0
