tax_sales_collection_month,tax_sales_tax_jurisdiction_code,tax_sales_tax_base_category,tax_sales_tax_rate_pct,tax_sales_gross_taxable_sales_usd,tax_sales_tax_collected_usd,tax_sales_vendor_count_reporting,tax_sales_filing_frequency_type,tax_sales_late_filing_rate_pct,tax_sales_penalties_assessed_usd,tax_sales_interest_assessed_usd,tax_sales_exempt_sales_usd,tax_sales_ecommerce_sales_share_pct,tax_sales_marketplace_facilitator_flag,tax_sales_audit_assessment_total_usd,tax_sales_compliance_gap_estimate,tax_sales_seasonality_index,tax_sales_holiday_sales_event_flag,tax_sales_refunds_issued_usd,tax_sales_data_certification_level
2012-01,JUR0000001,GENERAL,11.77,30536213241.04,3217548501.4,176728,QUARTERLY,6.32,2241054949.06,7206894.38,5094239157.37,46.63,0,8238568306.08,0.2223,1.4839,0,888943457.2,PROVISIONAL
2012-02,JUR0000002,DIGITAL_GOODS,7.293,188356189061.31,11391056625.22,388418,MONTHLY,17.46,1837950629.44,612143698.13,27436374486.57,63.17,0,10016158925.77,0.3609,0.743,0,4566836391.84,CERTIFIED
2012-03,JUR0000003,FUEL,2.374,141480001764.75,2954130496.05,212762,MONTHLY,1.28,1673964604.68,479507574.56,26980418671.45,80.36,0,10681308858.57,0.1811,0.8329,0,5657160073.66,CERTIFIED
2012-04,JUR0000004,FUEL,11.17,224625048418.47,22061022523.64,252912,MIXED,15.23,1931522342.28,488622009.22,12551333115.33,69.01,0,3168906121.02,0.2171,1.386,0,6763044019.57,CERTIFIED
2012-05,JUR0000005,TOBACCO,8.111,147648495527.6,10231787708.15,362438,QUARTERLY,6.35,624820529.06,488631072.36,39684472913.81,5.49,1,2552107679.35,0.6848,1.0054,0,7114891632.69,UNCERTIFIED
2012-06,JUR0000006,ALCOHOL,11.077,61944581028.69,5905141282.95,389929,MONTHLY,8.72,543053078.7,376768743.96,2376638829.96,20.72,0,7003418446.89,0.1281,0.9258,1,8104167346.89,PROVISIONAL
2012-07,JUR0000007,GENERAL,10.967,204277555875.57,15845054421.97,449442,MONTHLY,6.37,1964991575.54,657612268.46,55993668615.33,30.78,1,3091087874.17,0.1575,0.6818,0,7252813873.85,UNCERTIFIED
2012-08,JUR0000008,ALCOHOL,2.712,204614796587.31,5422863453.5,55634,ANNUAL,10.57,1822288404.82,750267197.38,49875403551.03,57.55,1,8527868943.77,0.2365,0.8567,0,1918104493.35,CERTIFIED
2012-09,JUR0000009,FUEL,6.746,247322817620.37,12275421866.29,416699,MONTHLY,11.25,962908535.97,276293017.92,50866725836.0,22.11,0,5683453858.3,0.4637,0.8024,0,1383782746.95,AUDITED
2012-10,JUR0000010,LODGING,7.353,182933409502.61,11834903513.81,269760,MONTHLY,4.44,1523341685.64,617696630.97,51996894937.47,20.64,1,11818478484.51,0.8215,0.7838,0,5785885123.6,UNCERTIFIED
2012-11,JUR0000011,SERVICES,11.67,40991019737.0,3876883657.43,325096,QUARTERLY,1.97,2444396464.13,140466329.45,741605975.79,78.86,1,9587395140.34,0.8077,1.2402,0,182360987.69,AUDITED
2012-12,JUR0000012,SERVICES,0.486,225657527788.42,773572490.48,218521,MONTHLY,5.4,390934178.39,563020663.28,76822340324.82,69.92,0,8474089367.33,0.7039,0.652,0,4484736383.15,UNCERTIFIED
2013-01,JUR0000013,GENERAL,1.313,20676303449.94,224854167.39,329559,MONTHLY,2.64,2182294304.15,139137104.28,2007854338.76,26.48,0,10640583157.85,0.5235,1.2474,0,1092641278.08,AUDITED
2013-02,JUR0000014,LODGING,9.623,53891545741.91,4188487307.78,283886,MONTHLY,2.28,1950259986.4,541838053.66,3643696057.24,55.94,1,7938970906.98,0.9061,1.1658,0,6516664479.89,AUDITED
2013-03,JUR0000015,GROCERY,11.341,26925174366.41,2847205324.33,90031,MONTHLY,11.73,1735218574.13,152843556.59,7290144649.54,4.02,1,5473946662.72,0.8799,1.3373,0,6722256355.88,CERTIFIED
2013-04,JUR0000016,GROCERY,9.761,75176635374.56,5666313418.54,67108,ANNUAL,4.0,743644211.67,514688943.21,25803856435.59,62.7,0,7924695955.22,0.4958,1.0603,0,3395060427.97,PROVISIONAL
2013-05,JUR0000017,RESTAURANT,7.155,23709295612.45,1363296753.37,82681,MONTHLY,14.28,1125828465.67,153213627.84,6814524958.6,24.46,0,5943126586.23,0.6393,0.9855,0,4023794977.43,PROVISIONAL
2013-06,JUR0000018,TOBACCO,6.53,124006839583.89,7914454562.81,334110,QUARTERLY,5.53,2452739804.56,250735521.96,1291704113.74,54.81,0,9239495699.96,0.5793,0.7699,0,370355336.2,PROVISIONAL
2013-07,JUR0000019,SERVICES,4.247,156115543298.09,4675977782.17,351397,MONTHLY,4.77,662599240.8,260838701.68,32072983073.03,19.95,0,5518895886.81,0.3666,1.4064,0,6515292747.46,CERTIFIED
2013-08,JUR0000020,GROCERY,8.268,177944062531.54,13672679661.01,233459,MONTHLY,12.24,729609425.86,286849837.52,1682229292.3,11.28,1,3422177308.57,0.1592,0.8789,0,4335367093.29,UNCERTIFIED
2013-09,JUR0000021,FUEL,1.045,82286742180.73,796692496.54,427708,MIXED,16.35,1219854834.83,2501465.56,2825697080.12,21.99,0,5529364847.79,0.8624,1.4961,0,5179665437.07,UNCERTIFIED
2013-10,JUR0000022,FUEL,0.339,77025004726.11,241700765.56,33602,MONTHLY,6.16,309914826.21,650247091.16,21670222518.56,76.45,0,8922310837.85,0.6985,0.7425,0,4400505065.84,UNCERTIFIED
2013-11,JUR0000023,FUEL,10.475,107054074771.98,7850815962.1,263832,QUARTERLY,10.77,1806365105.02,97878642.31,29490550695.84,53.37,0,8381017325.09,0.2314,0.9789,0,5369905857.03,CERTIFIED
2013-12,JUR0000024,GROCERY,5.228,45567805821.93,1833358188.1,408888,QUARTERLY,16.86,2437412384.41,1391711.51,12519927494.45,66.63,0,7214721693.32,0.3991,1.1631,1,4902563151.97,CERTIFIED
2014-01,JUR0000025,DIGITAL_GOODS,4.947,24950219977.45,1202024583.15,449369,QUARTERLY,3.22,2389774573.01,212446562.04,6680516876.48,44.51,0,11231510639.98,0.9699,1.2974,0,7232282902.81,PROVISIONAL
2014-02,JUR0000026,GENERAL,5.247,29118143207.96,1210458092.15,118939,MIXED,7.69,1089845297.25,754773536.43,7954461613.88,35.74,0,2715362773.09,0.5837,0.7381,0,3787362859.05,AUDITED
2014-03,JUR0000027,TOBACCO,6.934,181726910474.42,11868042414.65,211186,QUARTERLY,17.32,187405683.46,140969550.72,50374471635.52,39.11,0,3107591617.67,0.6463,1.236,0,5900984792.34,CERTIFIED
2014-04,JUR0000028,DIGITAL_GOODS,0.035,159376936363.38,47026826.69,120694,QUARTERLY,2.52,1174484223.93,277693601.33,52876412652.54,29.81,0,7597468584.18,0.7137,1.3985,0,2371352094.43,UNCERTIFIED
