tech_adopt_survey_year,tech_adopt_community_digital_id,tech_adopt_households_with_internet_pct,tech_adopt_households_with_computer_pct,tech_adopt_smartphone_only_households_pct,tech_adopt_digital_literacy_score,tech_adopt_affordability_barrier_rate,tech_adopt_language_barrier_rate,tech_adopt_disability_access_barrier_rate,tech_adopt_public_wifi_access_points,tech_adopt_library_device_loan_count,tech_adopt_digital_navigator_program_flag,tech_adopt_training_sessions_completed,tech_adopt_telehealth_use_rate,tech_adopt_online_learning_use_rate,tech_adopt_remote_work_enablement_rate,tech_adopt_banking_online_adoption_rate,tech_adopt_cyber_safety_incident_rate,tech_adopt_privacy_concern_score,tech_adopt_equity_gap_index
2011,CDI0000000001,41.02,39.25,17.28,70.23,2.81,8.65,19.24,540,12242,1,17944,11.07,46.08,38.47,51.81,18.87,14.65,0.6158
2010,CDI0000000002,55.76,39.34,8.13,56.89,35.26,13.1,31.26,3148,23426,1,21671,33.73,45.51,32.89,5.71,5.226,92.27,0.7226
2024,CDI0000000003,67.55,51.02,19.28,18.91,42.64,11.63,20.8,4950,11640,1,2860,25.54,51.71,52.13,82.66,21.363,84.03,0.602
2020,CDI0000000004,39.34,28.16,47.69,53.01,17.01,10.9,31.07,1440,13166,1,14139,81.6,52.02,0.52,24.58,2.508,19.5,0.5692
2020,CDI0000000005,89.87,57.55,7.12,20.69,28.18,27.54,12.7,2198,6591,0,21460,14.93,32.67,44.46,74.52,12.146,57.54,0.3161
2013,CDI0000000006,65.71,40.09,6.48,77.62,22.45,0.78,2.23,747,14056,0,6067,67.89,34.04,69.41,70.15,15.279,24.49,0.5202
2010,CDI0000000007,88.49,60.47,6.73,32.58,34.68,32.89,32.51,2593,1747,0,10754,76.25,35.97,47.17,18.91,23.04,96.31,0.3647
2016,CDI0000000008,40.21,29.76,36.18,32.55,6.69,9.22,11.64,3231,21170,1,22311,10.39,56.47,6.89,69.22,23.369,5.22,0.2443
2021,CDI0000000009,94.49,95.53,49.61,64.19,21.93,29.12,28.6,4615,4682,1,10295,22.95,73.85,46.4,66.38,20.689,11.24,0.3763
2022,CDI0000000010,47.94,47.97,46.11,7.63,13.72,20.24,23.28,3285,16866,0,11144,29.34,56.29,22.74,92.26,23.257,44.61,0.3142
