tech_cover_mapping_release_date,tech_cover_provider_id_fcc,tech_cover_technology_code,tech_cover_max_advertised_down_mbps,tech_cover_max_advertised_up_mbps,tech_cover_latency_category,tech_cover_data_cap_gb,tech_cover_coverage_area_hex_id,tech_cover_served_location_count,tech_cover_unserved_location_count,tech_cover_underserved_location_count,tech_cover_challenge_filed_count,tech_cover_challenge_upheld_count,tech_cover_middle_mile_presence_flag,tech_cover_backhaul_distance_km,tech_cover_last_mile_medium_code,tech_cover_spectrum_band_code,tech_cover_grant_funded_flag,tech_cover_permit_obstacle_index,tech_cover_coverage_confidence_score
2020-01-01,8239215,CABLE,100.0,19.1,LOW,5000,HEX0000000001,17545,7116,20887,238,238,0,184.87,AERIAL,UNLICENSED,1,0.7274,41.45
2020-01-02,8053175,DSL,25.0,14.6,UNKNOWN,1000,HEX0000000002,19810,20812,20911,57,57,1,157.18,AERIAL,NONE,0,0.4085,42.54
2020-01-03,9067051,SATELLITE,50.0,30.0,HIGH,5000,HEX0000000003,20486,8111,19745,187,164,1,253.17,AERIAL,UNLICENSED,0,0.9201,17.82
2020-01-04,3977026,FIBER,50.0,20.2,LOW,2000,HEX0000000004,18246,8445,3568,54,54,1,38.87,HYBRID,SUB6,1,0.8095,53.19
2020-01-05,5996035,SATELLITE,100.0,63.3,LOW,5000,HEX0000000005,8521,4218,12528,120,4,0,217.51,AERIAL,MIDBAND,0,0.3595,15.89
2020-01-06,6292062,FIBER,100.0,34.3,LOW,500,HEX0000000006,7021,24112,5529,234,10,0,139.79,HYBRID,NONE,1,0.3756,45.68
2020-01-07,3912930,SATELLITE,2000.0,1582.4,LOW,5000,HEX0000000007,4837,21842,4730,16,16,0,32.67,UNDERGROUND,NONE,0,0.1891,86.16
2020-01-08,8684622,FIBER,25.0,5.2,MEDIUM,2000,HEX0000000008,19341,10406,22496,390,390,1,113.27,UNDERGROUND,MMWAVE,0,0.9933,78.36
2020-01-09,5788412,FIXED_WIRELESS,200.0,113.1,LOW,2000,HEX0000000009,12851,9062,6816,225,225,1,2.57,HYBRID,NONE,1,0.7861,43.38
2020-01-10,7540282,FIXED_WIRELESS,200.0,123.4,LOW,1000,HEX0000000010,16158,18886,1981,200,200,1,9.52,AERIAL,UNLICENSED,0,0.6882,37.4
2020-01-11,7636085,DSL,300.0,233.2,LOW,1000,HEX0000000011,22591,19106,12271,334,139,1,333.89,AERIAL,MIDBAND,1,0.801,38.24
2020-01-12,2168932,SATELLITE,200.0,53.3,HIGH,5000,HEX0000000012,13338,1383,17220,341,62,1,223.96,HYBRID,SUB6,1,0.7407,41.46
2020-01-13,7737890,COPPER,25.0,5.0,HIGH,1000,HEX0000000013,733,5198,17179,260,251,0,2.86,AERIAL,SUB6,0,0.4353,75.41
2020-01-14,1571676,FIBER,500.0,307.4,UNKNOWN,1000,HEX0000000014,24018,10271,11236,265,265,1,231.85,AERIAL,MIDBAND,1,0.0226,3.97
2020-01-15,9948258,FIXED_WIRELESS,25.0,14.1,LOW,0,HEX0000000015,20505,14181,15502,271,216,0,321.25,AERIAL,MIDBAND,0,0.9349,12.69
