tech_infra_project_start_date,tech_infra_project_id,tech_infra_project_type_code,tech_infra_funding_source_code,tech_infra_total_budget_usd,tech_infra_matching_funds_usd,tech_infra_miles_fiber_planned,tech_infra_miles_fiber_completed,tech_infra_locations_planned,tech_infra_locations_connected,tech_infra_construction_status_code,tech_infra_permits_issued_count,tech_infra_right_of_way_delay_days,tech_infra_contractor_id,tech_infra_workforce_local_hire_pct,tech_infra_equipment_supply_risk_score,tech_infra_open_access_policy_flag,tech_infra_community_anchor_sites_connected,tech_infra_performance_milestone_met_flag,tech_infra_project_closeout_date
2016-01-01,PRJ0000000001,DIGITAL_EQUITY,STATE_MATCH,5885851559.54,740091936.73,3682.809,1271.919,12842,7374,PLANNING,686,285,CTR000000001,21.28,0.2288,0,14786,1,2017-06-16
2016-01-02,PRJ0000000002,PUBLIC_WIFI,ARPA,983330535.08,232037124.41,1789.092,1490.517,480061,172404,CONSTRUCTION,3963,641,CTR000000002,44.18,0.4312,0,8455,1,2021-09-26
2016-01-03,PRJ0000000003,DATA_CENTER,PRIVATE_PARTNER,2562445599.16,193643542.47,3561.482,193.27,699883,13779,CONSTRUCTION,1727,30,CTR000000003,87.55,0.6366,1,4348,0,2017-12-13
2016-01-04,PRJ0000000004,DIGITAL_EQUITY,PRIVATE_PARTNER,4394981513.88,474134100.38,3827.141,399.19,516625,303291,PLANNING,1019,298,CTR000000004,91.07,0.917,0,11925,1,2018-03-16
2016-01-05,PRJ0000000005,FIBER_BUILD,STATE_MATCH,1750346887.1,780820579.14,3710.251,2332.032,680427,450800,COMPLETE,4553,656,CTR000000005,61.68,0.6231,0,5901,0,2018-07-03
2016-01-06,PRJ0000000006,TOWER_BUILD,ARPA,4146300096.87,1081235103.87,918.269,48.469,768593,202958,PERMITTING,1906,112,CTR000000006,95.68,0.2165,0,7201,1,2020-10-28
2016-01-07,PRJ0000000007,DIGITAL_EQUITY,FEDERAL_GRANT,4906518426.64,1762884334.04,803.812,12.479,513492,317155,COMPLETE,4847,677,CTR000000007,48.74,0.7573,1,8039,1,2017-07-02
2016-01-08,PRJ0000000008,MIDDLE_MILE,FEDERAL_GRANT,1903251408.62,570507246.74,673.292,126.533,756652,555462,COMPLETE,521,518,CTR000000008,29.32,0.0051,1,4238,1,2020-06-16
2016-01-09,PRJ0000000009,FIBER_BUILD,PRIVATE_PARTNER,4330159094.85,2418229400.05,1948.337,1773.857,414587,164619,CONSTRUCTION,2743,73,CTR000000009,94.03,0.1578,0,10051,1,2021-06-24
2016-01-10,PRJ0000000010,TOWER_BUILD,FEDERAL_GRANT,3185860539.59,1306163115.41,1869.4,855.682,247182,69686,COMPLETE,4803,230,CTR000000010,84.76,0.306,0,12540,0,2020-10-02
2016-01-11,PRJ0000000011,PUBLIC_WIFI,FEDERAL_GRANT,5239827019.24,202582108.83,2479.675,1808.977,642749,538140,PERMITTING,1317,313,CTR000000011,61.76,0.0092,0,13823,1,2017-02-25
2016-01-12,PRJ0000000012,DIGITAL_EQUITY,FEDERAL_GRANT,3451255809.22,1815239160.82,1619.926,913.662,217266,148712,PLANNING,2859,552,CTR000000012,90.78,0.1138,0,8248,1,2020-10-01
2016-01-13,PRJ0000000013,PUBLIC_WIFI,FEDERAL_GRANT,2256598959.24,623121075.19,434.802,67.963,446939,59643,COMPLETE,927,42,CTR000000013,9.81,0.0692,0,6428,1,2019-11-21
2016-01-14,PRJ0000000014,DIGITAL_EQUITY,FEDERAL_GRANT,2763121566.29,756594045.55,3631.713,2699.526,391204,202439,CONSTRUCTION,3228,609,CTR000000014,86.08,0.0253,0,5707,1,2021-08-02
