tech_perf_test_timestamp,tech_perf_test_platform,tech_perf_asn_number,tech_perf_isp_brand_code,tech_perf_connection_type_code,tech_perf_download_mbps_measured,tech_perf_upload_mbps_measured,tech_perf_latency_ms,tech_perf_jitter_ms,tech_perf_packet_loss_pct,tech_perf_video_stream_quality_score,tech_perf_webpage_load_time_ms,tech_perf_peak_hour_congestion_index,tech_perf_ipv6_enabled_flag,tech_perf_dns_resolution_ms,tech_perf_bufferbloat_ms,tech_perf_outage_minutes_month,tech_perf_maintenance_window_minutes,tech_perf_router_model_hash,tech_perf_measurement_confidence_grade
2022-01-01 00:00:00,MOBILE_APP,30607,ISP_G,CABLE,13.36,9.1,225.87,32.2,5.986,64.85,5522.3,0.6401,1,105.46,1344.0,2068,125,5b7eebbec03dca4b,C
2022-01-01 00:37:00,WEB,10939,ISP_C,FIXED_WIRELESS,13.11,8.3,21.75,73.09,0.203,70.86,15302.3,0.9995,1,39.0,74.6,2007,1856,88d042262aeaa4db,A
2022-01-01 01:14:00,MOBILE_APP,55239,ISP_E,CELLULAR,32.2,6.23,224.72,13.77,6.84,27.3,7879.0,0.9758,1,37.32,1497.0,359,1096,c16cb826dd69bf96,B
2022-01-01 01:51:00,ROUTER_PROBE,39633,ISP_B,DSL,206.0,114.6,127.85,48.27,4.433,16.57,5378.9,0.6373,0,89.84,725.8,923,1861,bf0c5104f2c62976,B
2022-01-01 02:28:00,WEB,62532,ISP_B,CABLE,67.51,46.39,154.25,69.01,5.923,87.38,10181.5,0.1683,1,210.86,570.4,637,1189,a916e74e26841343,B
2022-01-01 03:05:00,DESKTOP_AGENT,13648,ISP_C,CELLULAR,55.6,15.72,87.04,60.51,3.81,64.74,12480.2,0.7968,0,327.56,1125.1,273,2203,5cc32818ac058786,B
2022-01-01 03:42:00,ROUTER_PROBE,42391,ISP_A,CELLULAR,50.43,24.71,163.33,33.75,6.277,65.03,5939.7,0.3363,1,221.95,575.0,1129,1143,255c201ee9116309,B
2022-01-01 04:19:00,DESKTOP_AGENT,34545,ISP_B,CABLE,41.54,9.79,11.97,63.6,7.08,93.7,17588.2,0.2392,0,126.51,162.7,657,505,06db3694e97d9514,B
2022-01-01 04:56:00,DESKTOP_AGENT,39693,ISP_B,DSL,115.75,69.94,175.39,9.33,6.117,20.59,1697.0,0.6382,1,146.69,914.0,898,1037,af99ae413b26d21e,A
2022-01-01 05:33:00,DESKTOP_AGENT,56311,ISP_B,FIBER,63.3,32.11,186.02,60.94,5.508,95.07,2321.5,0.5545,0,140.29,772.5,824,2103,9066b1a1dede922e,C
2022-01-01 06:10:00,MOBILE_APP,49405,ISP_C,CABLE,73.4,11.02,168.64,3.44,7.205,62.9,4454.4,0.2575,1,222.4,127.9,567,988,d732c840700f58a7,B
2022-01-01 06:47:00,MOBILE_APP,42168,ISP_A,CABLE,71.89,23.11,205.24,21.05,7.877,27.05,16851.7,0.6744,1,7.08,272.9,961,955,ac448acc65d80ca5,B
2022-01-01 07:24:00,WEB,51020,ISP_C,FIBER,52.7,21.43,103.36,70.83,0.776,55.9,11649.2,0.165,1,302.15,801.4,1614,546,66fd57d86884d254,A
2022-01-01 08:01:00,WEB,55154,ISP_F,CABLE,45.34,31.34,28.54,52.91,1.58,58.41,15468.5,0.7209,0,140.61,804.7,451,754,4d2b863f8a725cbe,B
2022-01-01 08:38:00,MOBILE_APP,45549,ISP_D,CABLE,70.3,3.92,221.45,52.92,1.813,40.16,7850.2,0.1968,0,237.01,692.4,699,16,02557645b38db4fa,A
2022-01-01 09:15:00,DESKTOP_AGENT,2340,ISP_C,FIBER,136.26,25.01,128.27,5.77,4.585,86.42,11166.0,0.4635,1,293.6,153.2,1390,1768,aebea70e1faded0c,A
2022-01-01 09:52:00,WEB,43553,ISP_C,CABLE,96.66,47.42,73.6,47.69,0.523,57.74,17483.7,0.8574,1,286.32,260.9,2055,414,3f0ae1be57002ed5,C
2022-01-01 10:29:00,MOBILE_APP,54886,ISP_C,CABLE,52.38,26.24,186.72,25.4,2.078,72.52,1142.6,0.7201,1,26.96,293.8,2309,1451,1fb2968357f7e565,A
2022-01-01 11:06:00,WEB,13095,ISP_C,FIBER,99.96,46.27,125.61,9.67,0.493,67.57,10069.7,0.2937,1,245.04,769.1,2175,1544,abbc5eecbb9cb2ee,B
2022-01-01 11:43:00,WEB,12577,ISP_B,CELLULAR,42.01,7.02,225.67,21.2,4.895,42.11,6820.5,0.1471,1,122.57,621.1,1612,1067,7d2180f515044005,C
2022-01-01 12:20:00,ROUTER_PROBE,28065,ISP_A,CABLE,51.11,16.6,127.99,59.52,5.839,3.13,17195.5,0.654,1,17.51,899.5,976,2114,fa1861c408e2e471,F
2022-01-01 12:57:00,MOBILE_APP,51251,ISP_A,CABLE,143.79,67.74,18.07,30.02,5.305,98.45,8475.1,0.8044,0,219.17,129.5,1069,2372,ac98c5450fccdb0d,B
