tech_price_pricing_snapshot_date,tech_price_plan_id,tech_price_provider_brand,tech_price_service_area_id,tech_price_monthly_price_usd,tech_price_promo_price_usd,tech_price_promo_duration_months,tech_price_equipment_fee_usd,tech_price_installation_fee_usd,tech_price_early_termination_fee_usd,tech_price_contract_length_months,tech_price_auto_pay_discount_usd,tech_price_bundling_discount_usd,tech_price_income_based_discount_flag,tech_price_low_income_eligibility_program,tech_price_price_per_mbps_metric,tech_price_hidden_fees_estimate_usd,tech_price_price_increase_notice_days,tech_price_complaint_rate_per_1k,tech_price_regulatory_filing_id
2021-01-01,PLAN0000000001,BRAND_E,AREA000000001,174.93,143.94,6,5.99,232.33,224.8,12,12.96,14.81,1,LOCAL_VOUCHER,0.1209,34.19,27,14.408,DOCKET0000000001
2021-01-02,PLAN0000000002,BRAND_A,AREA000000002,193.15,99.93,0,24.1,188.17,17.08,24,8.32,23.49,0,LOCAL_VOUCHER,0.1899,31.53,59,8.591,DOCKET0000000002
2021-01-03,PLAN0000000003,BRAND_F,AREA000000003,39.68,28.48,9,16.3,193.11,163.2,24,17.09,6.14,1,NONE,0.0213,32.66,64,33.785,DOCKET0000000003
2021-01-04,PLAN0000000004,BRAND_E,AREA000000004,191.36,146.89,6,17.99,38.19,279.67,12,18.44,17.8,0,NONE,0.7376,9.54,43,29.391,DOCKET0000000004
2021-01-05,PLAN0000000005,BRAND_F,AREA000000005,198.59,107.37,18,2.81,127.37,203.44,24,17.36,27.51,0,LOCAL_VOUCHER,0.3127,15.02,42,8.465,DOCKET0000000005
2021-01-06,PLAN0000000006,BRAND_E,AREA000000006,19.77,15.13,18,17.57,55.86,138.16,0,12.3,23.31,0,NONE,0.0189,33.99,1,28.536,DOCKET0000000006
2021-01-07,PLAN0000000007,BRAND_C,AREA000000007,131.64,106.37,3,21.32,174.69,0.4,24,9.8,30.43,0,LIFELINE,0.0753,10.53,23,11.246,DOCKET0000000007
2021-01-08,PLAN0000000008,BRAND_C,AREA000000008,67.7,41.78,18,5.25,130.9,186.01,12,4.75,30.8,0,NONE,0.0595,21.86,6,5.662,DOCKET0000000008
2021-01-09,PLAN0000000009,BRAND_C,AREA000000009,190.71,64.14,24,10.37,47.17,5.95,0,9.51,7.32,0,NONE,0.1043,5.78,57,27.571,DOCKET0000000009
2021-01-10,PLAN0000000010,BRAND_E,AREA000000010,142.61,56.16,12,7.62,47.47,393.59,0,4.83,31.21,0,LOCAL_VOUCHER,0.4697,7.66,116,31.97,DOCKET0000000010
2021-01-11,PLAN0000000011,BRAND_B,AREA000000011,130.4,77.04,6,12.59,90.62,310.36,24,5.1,34.72,0,NONE,0.0838,1.09,79,4.763,DOCKET0000000011
2021-01-12,PLAN0000000012,BRAND_A,AREA000000012,74.8,54.35,12,17.9,244.62,407.76,24,4.96,34.37,0,NONE,0.042,4.81,55,26.888,DOCKET0000000012
2021-01-13,PLAN0000000013,BRAND_C,AREA000000013,183.49,145.81,9,10.41,185.41,426.7,24,16.31,12.25,0,LOCAL_VOUCHER,0.0999,20.84,117,26.74,DOCKET0000000013
2021-01-14,PLAN0000000014,BRAND_D,AREA000000014,59.76,45.12,0,13.21,130.07,422.61,12,8.72,15.72,1,LIFELINE,0.0409,19.25,50,17.86,DOCKET0000000014
2021-01-15,PLAN0000000015,BRAND_B,AREA000000015,147.1,103.03,18,15.88,91.56,442.47,0,18.96,19.44,0,NONE,0.2067,2.89,29,24.446,DOCKET0000000015
2021-01-16,PLAN0000000016,BRAND_C,AREA000000016,60.05,39.15,0,3.92,155.26,209.76,12,4.13,13.45,1,NONE,0.0316,6.77,71,3.124,DOCKET0000000016
2021-01-17,PLAN0000000017,BRAND_D,AREA000000017,67.93,30.2,6,13.7,153.47,271.73,12,7.06,30.69,1,TRIBAL,0.0535,30.76,16,26.309,DOCKET0000000017
2021-01-18,PLAN0000000018,BRAND_E,AREA000000018,191.49,72.74,0,21.61,219.11,273.17,24,19.08,23.69,0,LOCAL_VOUCHER,0.2375,32.05,46,25.278,DOCKET0000000018
2021-01-19,PLAN0000000019,BRAND_A,AREA000000019,185.16,96.57,9,23.83,58.31,418.16,0,13.34,24.26,1,LOCAL_VOUCHER,0.1466,19.38,71,34.887,DOCKET0000000019
2021-01-20,PLAN0000000020,BRAND_A,AREA000000020,101.97,32.78,12,7.91,217.13,421.65,24,17.81,12.59,0,LOCAL_VOUCHER,0.0614,26.57,69,25.105,DOCKET0000000020
