trans_transit_service_date,trans_transit_agency_gtfs_id,trans_transit_route_id,trans_transit_route_type,trans_transit_scheduled_trips_count,trans_transit_actual_trips_count,trans_transit_on_time_performance_pct,trans_transit_headway_minutes_avg,trans_transit_passenger_boardings,trans_transit_passenger_alightings,trans_transit_load_factor_peak,trans_transit_vehicle_miles_traveled,trans_transit_vehicle_hours_traveled,trans_transit_revenue_miles_traveled,trans_transit_farebox_revenue_usd,trans_transit_fare_evasion_estimate_pct,trans_transit_service_disruption_minutes,trans_transit_accessibility_compliance_pct,trans_transit_operator_absence_rate,trans_transit_customer_complaints_count
2019-01-01,GTFS00002,R0000001,BUS,839,770,83.52,24.29,156443,2438,1.222,7401.38,12367.98,5592.79,2172027.84,3.37,267,80.75,6.04,4101
2019-01-02,GTFS00003,R0000002,BUS,235,222,58.83,16.25,229214,12181,1.701,15448.48,11059.33,12363.73,1121414.13,11.86,176,75.02,1.72,4184
2019-01-03,GTFS00004,R0000003,BUS,341,322,78.13,7.0,72339,54370,0.494,12723.99,12805.96,7853.91,1264266.93,11.05,201,74.57,16.55,3460
2019-01-04,GTFS00005,R0000004,BUS,857,820,99.31,37.72,50461,58294,0.668,170.31,17177.4,115.38,3208738.29,8.59,282,99.39,15.82,4269
2019-01-05,GTFS00006,R0000005,RAIL,694,707,84.12,21.83,99676,31844,1.302,5012.32,492.24,4388.63,6072921.98,9.84,457,80.92,1.27,4594
2019-01-06,GTFS00007,R0000006,BUS,764,757,68.0,30.23,93226,78439,0.243,6147.81,6731.72,5839.03,1336635.44,16.56,475,79.95,0.37,3911
2019-01-07,GTFS00008,R0000007,FERRY,1318,1270,63.34,14.31,111992,133429,0.216,12832.13,12411.65,8957.66,3105468.93,1.7,18,93.84,9.08,886
2019-01-08,GTFS00009,R0000008,RAIL,529,475,57.56,5.56,69125,148161,1.671,13180.19,10881.19,9741.6,6628736.23,12.83,361,70.16,17.65,4280
2019-01-09,GTFS00010,R0000009,BUS,780,612,83.59,30.36,223429,108556,0.302,20917.0,13551.31,13975.77,810019.48,17.37,209,75.88,12.18,356
2019-01-10,GTFS00011,R0000010,BUS,1041,972,75.11,28.86,198091,226537,0.305,11249.77,15362.59,7369.27,3677222.25,0.84,180,70.82,4.15,477
2019-01-11,GTFS00012,R0000011,BUS,1123,861,91.16,27.09,192049,10812,0.521,17520.27,2020.62,15336.96,4849726.4,4.54,266,76.07,12.17,3345
2019-01-12,GTFS00013,R0000012,RAIL,406,412,86.51,36.71,141010,110662,1.233,4938.46,9511.11,3390.64,1302978.22,3.24,30,71.33,10.39,1218
2019-01-13,GTFS00014,R0000013,TRAM,242,223,85.94,35.93,228651,229281,1.757,9036.41,4905.85,6627.22,4375931.48,4.97,351,97.23,11.39,649
2019-01-14,GTFS00015,R0000014,BUS,24,20,60.33,39.0,170493,83630,1.333,7158.06,12668.29,6343.98,3250151.03,0.46,307,98.01,11.34,4239
2019-01-15,GTFS00016,R0000015,FERRY,479,479,82.58,8.35,64728,137769,1.033,3766.47,2876.75,3130.53,6309421.97,3.2,251,78.5,16.43,1173
2019-01-16,GTFS00017,R0000016,BUS,658,502,98.38,24.2,58913,184382,0.359,19251.91,17495.6,13725.11,1590285.46,16.24,277,92.74,11.74,19
2019-01-17,GTFS00018,R0000017,BUS,499,393,89.5,34.25,203289,213600,0.421,18066.63,2466.21,12263.71,580203.06,17.99,349,85.75,14.5,1045
2019-01-18,GTFS00019,R0000018,BUS,537,433,93.18,37.48,226658,177219,1.557,9881.13,12910.71,9719.09,3363850.97,14.24,435,82.34,0.19,4875
2019-01-19,GTFS00020,R0000019,BUS,1481,1191,70.38,29.74,94639,16021,0.258,2840.56,12652.56,1870.26,281908.69,12.6,86,76.58,10.03,3136
2019-01-20,GTFS00021,R0000020,SUBWAY,1275,1262,61.15,16.28,29405,198482,1.22,2662.1,2477.33,2616.01,539745.77,2.12,180,85.58,13.27,548
2019-01-21,GTFS00022,R0000021,FERRY,1454,1215,87.81,21.39,7423,104881,1.761,7148.05,16556.07,6117.57,1930188.78,4.56,439,89.04,14.04,6218
2019-01-22,GTFS00023,R0000022,RAIL,1054,926,89.17,27.95,237950,248919,0.133,8374.06,2613.41,5030.35,2205863.41,6.22,162,74.67,17.2,2243
2019-01-23,GTFS00024,R0000023,BUS,1090,841,90.8,34.57,160873,28538,0.218,16326.1,13570.37,15862.58,1485196.91,16.76,322,86.87,1.82,5955
2019-01-24,GTFS00025,R0000024,BUS,1212,1233,89.24,23.29,186777,135969,0.124,11065.93,1673.94,9881.9,3364960.09,10.24,121,71.76,7.27,1125
2019-01-25,GTFS00026,R0000025,BUS,1071,816,62.33,16.07,171437,168294,0.725,19072.88,8400.06,16267.63,6643842.94,16.56,52,84.84,11.29,3891
2019-01-26,GTFS00027,R0000026,BUS,470,475,80.83,26.2,210938,213753,0.963,12148.79,1690.84,11255.53,3253673.43,4.77,289,97.15,8.85,3590
2019-01-27,GTFS00028,R0000027,BUS,1088,831,80.83,23.8,234408,226867,1.469,16734.67,13870.08,11697.51,3147896.23,5.26,418,74.24,1.44,6121
2019-01-28,GTFS00029,R0000028,BUS,691,661,93.54,9.62,91136,94524,0.28,19348.61,16845.19,12234.13,2102508.97,5.58,448,70.87,11.48,2338
2019-01-29,GTFS00030,R0000029,TRAM,672,616,87.57,23.36,111733,133692,0.485,17688.6,12200.2,17053.46,1725682.32,10.45,267,98.27,17.49,2307
2019-01-30,GTFS00031,R0000030,BUS,1436,1168,70.18,36.6,96278,241552,1.668,14142.53,7775.37,10521.41,253628.31,5.81,328,97.4,13.39,486
2019-01-31,GTFS00032,R0000031,BUS,833,829,81.83,4.07,205250,163094,1.477,115.11,5018.24,98.15,5240289.48,16.03,356,98.73,7.36,2139
2019-02-01,GTFS00033,R0000032,RAIL,1182,1094,93.87,27.72,189477,39685,1.181,14373.74,2329.72,11631.57,1729487.86,16.88,313,81.61,9.06,3970
2019-02-02,GTFS00034,R0000033,BUS,817,672,72.94,18.08,214922,227533,1.016,21996.38,12836.02,20571.35,13039.16,13.41,245,70.67,17.13,1987
2019-02-03,GTFS00035,R0000034,RAIL,1109,868,95.4,16.89,76822,116106,0.542,14401.66,16025.34,11739.1,7289281.48,2.81,338,76.2,2.92,2239
2019-02-04,GTFS00036,R0000035,BUS,763,710,61.75,39.52,49489,47230,0.929,9586.06,12091.26,9376.19,4794833.5,1.79,449,74.45,4.56,523
2019-02-05,GTFS00037,R0000036,BUS,909,690,73.61,11.64,1991,124433,0.923,5200.76,2592.42,3843.57,6563029.44,10.46,423,72.27,3.66,135
2019-02-06,GTFS00038,R0000037,BUS,1196,941,96.15,31.71,248061,63103,0.406,10828.79,14616.63,7854.46,1707750.64,1.41,80,74.37,17.0,6273
2019-02-07,GTFS00039,R0000038,BUS,269,210,58.98,33.84,111086,14262,0.107,13448.84,2308.58,12568.01,323314.79,16.71,416,92.6,15.56,4568
2019-02-08,GTFS00040,R0000039,BUS,1051,1027,94.42,17.96,126726,221136,0.146,3969.04,834.81,2589.63,2120771.81,16.97,236,70.55,0.4,980
2019-02-09,GTFS00041,R0000040,BUS,896,808,75.17,6.2,113078,190366,1.312,5067.62,15402.87,4160.31,2336066.52,1.51,90,71.37,13.05,193
2019-02-10,GTFS00042,R0000041,BUS,1160,907,83.89,11.06,157522,247982,1.188,10642.24,3690.42,7437.99,1738674.07,11.93,298,82.52,8.12,4521
2019-02-11,GTFS00043,R0000042,RAIL,22,17,81.0,23.71,96977,213927,0.399,9448.3,11397.08,8484.12,6557468.45,13.48,142,90.02,4.82,5259
2019-02-12,GTFS00044,R0000043,BUS,1241,969,89.74,21.46,185988,38764,1.716,4910.93,5247.16,3315.5,2907112.64,16.11,192,76.3,10.66,2966
2019-02-13,GTFS00045,R0000044,BUS,670,586,91.74,34.24,141579,8268,1.253,11776.29,13031.83,7332.71,7332845.46,7.44,95,93.45,0.52,258
2019-02-14,GTFS00046,R0000045,BUS,343,315,67.4,27.74,222578,50200,0.371,10421.18,10099.56,6938.11,6258026.42,12.72,69,84.8,13.28,2104
2019-02-15,GTFS00047,R0000046,BUS,965,805,94.39,17.45,232803,211159,0.991,12023.19,11411.49,7285.0,6203637.48,13.21,27,95.64,9.3,2652
2019-02-16,GTFS00048,R0000047,BUS,420,325,67.11,6.72,60033,78369,1.31,15840.64,17288.07,10786.35,1444366.13,1.32,18,95.04,4.36,3570
2019-02-17,GTFS00049,R0000048,BUS,1093,966,80.19,16.53,249321,55238,1.225,10655.34,559.16,9909.29,1521436.09,12.08,384,87.07,6.81,4999
2019-02-18,GTFS00050,R0000049,BUS,576,570,66.71,26.01,194651,243675,0.435,6399.11,1209.22,4322.94,3003372.79,9.21,295,99.03,3.65,2009
2019-02-19,GTFS00051,R0000050,RAIL,568,474,63.43,24.66,200834,129170,1.197,13438.47,5881.66,12395.4,3432636.33,16.5,15,90.64,2.64,4219
2019-02-20,GTFS00052,R0000051,BUS,194,194,78.28,12.69,38010,219701,0.48,10850.01,14788.36,7787.43,1083544.58,3.22,349,80.88,12.53,6141
2019-02-21,GTFS00053,R0000052,GONDOLA,751,566,59.71,8.26,31620,227336,0.367,16844.19,8426.43,14610.18,7348372.39,6.24,89,70.24,12.51,5760
2019-02-22,GTFS00054,R0000053,RAIL,111,92,83.19,7.29,76049,110986,1.036,12646.9,7932.84,9410.44,2164254.92,13.01,44,83.76,13.15,1091
2019-02-23,GTFS00055,R0000054,BUS,1109,879,70.08,5.54,81975,141091,1.256,11559.94,11685.11,9391.64,1738871.47,9.1,35,87.94,5.71,1152
2019-02-24,GTFS00056,R0000055,RAIL,152,115,83.2,27.8,228052,45747,0.186,133.49,734.06,81.81,583039.75,6.86,77,89.07,8.63,5913
2019-02-25,GTFS00057,R0000056,BUS,732,588,92.19,8.54,213132,120486,1.748,12297.45,1345.32,9458.68,5882540.32,3.48,107,95.42,7.68,6280
2019-02-26,GTFS00058,R0000057,BUS,329,295,73.95,13.84,199617,145470,1.246,20454.9,6894.08,19625.3,6262032.29,17.02,199,87.57,12.61,6431
2019-02-27,GTFS00059,R0000058,BUS,906,792,94.2,27.1,79420,193248,0.78,8036.3,3314.36,5844.18,5533182.75,12.87,93,91.96,16.04,4484
2019-02-28,GTFS00060,R0000059,BUS,1282,1127,59.05,36.41,228145,166480,0.371,6369.87,2431.31,4382.58,1889912.26,6.81,365,90.25,4.09,5166
2019-03-01,GTFS00061,R0000060,BUS,1276,1190,88.42,10.74,66222,61024,0.33,13574.78,2061.6,12419.27,1033676.64,11.6,76,96.39,7.1,1699
2019-03-02,GTFS00062,R0000061,BUS,1072,1019,76.74,11.33,45154,43851,1.638,5497.15,13864.71,3912.65,4545614.46,4.37,460,76.0,6.33,2962
2019-03-03,GTFS00063,R0000062,BUS,137,131,90.09,13.42,248373,119467,0.598,20053.97,17450.77,18761.52,4149610.58,0.76,342,73.31,16.86,2811
2019-03-04,GTFS00064,R0000063,GONDOLA,1088,833,75.76,37.79,83976,17332,0.869,19394.97,4579.66,14331.16,6736716.77,6.95,383,72.48,16.55,6010
2019-03-05,GTFS00065,R0000064,FERRY,549,471,76.62,4.96,172844,122903,1.722,15713.09,4654.11,13680.08,577478.46,7.18,280,73.03,16.03,1442
2019-03-06,GTFS00066,R0000065,BUS,10,9,92.4,28.07,107724,244615,0.367,10380.26,8462.74,8238.24,396028.05,12.51,66,86.62,9.44,2080
2019-03-07,GTFS00067,R0000066,BUS,1048,1059,88.41,8.25,102356,31147,1.093,5540.7,12662.42,3610.56,3006873.57,16.1,182,77.37,4.33,2675
2019-03-08,GTFS00068,R0000067,BUS,1084,902,81.07,13.7,153575,173342,0.501,20854.41,2986.42,15070.97,7118262.59,15.98,205,87.31,17.6,3288
2019-03-09,GTFS00069,R0000068,BUS,620,580,56.09,17.85,112662,76566,1.256,12375.52,14307.53,10595.4,4241330.76,5.47,195,77.71,1.66,4363
2019-03-10,GTFS00070,R0000069,RAIL,862,852,82.37,27.69,183006,113412,0.714,7926.24,12203.29,5484.6,1261615.2,9.8,251,79.42,3.92,1094
2019-03-11,GTFS00071,R0000070,BUS,1013,984,83.89,18.01,43054,52872,1.37,6988.34,8698.54,4650.2,3672798.69,16.12,261,70.04,15.48,1033
2019-03-12,GTFS00072,R0000071,SUBWAY,147,136,57.07,25.9,35378,247681,0.684,5467.92,13274.03,5000.2,1194461.5,9.88,453,79.36,14.15,1271
2019-03-13,GTFS00073,R0000072,BUS,1389,1260,55.74,27.85,108494,105918,0.632,2888.44,11481.05,2733.71,2871408.09,11.23,464,75.92,17.71,1606
2019-03-14,GTFS00074,R0000073,BUS,1178,1095,64.54,10.45,191949,3015,1.299,4191.78,8363.57,3925.74,6989117.56,8.85,249,84.96,2.74,3259
2019-03-15,GTFS00075,R0000074,BUS,1420,1319,60.41,17.09,201107,60842,0.597,14615.63,7509.07,10509.71,6956629.26,10.69,381,87.15,16.52,1396
2019-03-16,GTFS00076,R0000075,SUBWAY,1111,1036,65.8,19.57,135788,236797,0.27,10283.76,7826.22,7465.61,2177589.01,5.6,0,71.62,5.52,2513
2019-03-17,GTFS00077,R0000076,BUS,153,132,95.56,7.19,52154,177843,1.55,14055.95,4304.17,13691.62,3389059.47,7.79,101,77.45,8.63,3882
2019-03-18,GTFS00078,R0000077,BUS,89,76,92.06,30.57,35048,171423,0.464,1021.12,9406.85,668.14,4386517.82,11.0,20,81.3,9.63,5766
2019-03-19,GTFS00079,R0000078,BUS,162,147,99.29,12.45,108572,16058,0.148,12182.0,7083.83,12114.24,4174289.4,6.71,148,76.67,17.71,2525
2019-03-20,GTFS00080,R0000079,BUS,451,362,70.95,26.44,21367,70200,1.001,5311.45,13765.98,3565.89,5591532.55,0.98,250,92.33,0.98,502
2019-03-21,GTFS00081,R0000080,BUS,850,686,75.71,7.68,41092,245296,0.755,8170.64,2381.55,5713.42,1523930.74,7.8,26,93.1,8.73,2318
2019-03-22,GTFS00082,R0000081,BUS,611,617,89.85,30.64,87565,44079,1.144,7048.74,1373.74,6769.35,7176154.22,13.65,111,94.01,4.28,5170
2019-03-23,GTFS00083,R0000082,TRAM,335,260,90.35,34.13,68275,207395,1.26,4911.24,3935.99,3965.97,6483591.39,11.17,340,91.84,3.56,820
2019-03-24,GTFS00084,R0000083,BUS,369,314,94.63,13.69,221157,5548,0.852,6336.71,14254.82,5747.11,746643.31,4.66,466,76.05,0.3,5637
2019-03-25,GTFS00085,R0000084,BUS,1434,1316,67.7,28.42,71729,60935,0.603,19256.29,2674.56,17309.38,6506322.53,6.83,271,87.2,14.91,6187
2019-03-26,GTFS00086,R0000085,BUS,108,95,84.49,15.56,102575,245266,1.074,4771.2,3825.02,3272.0,3687304.61,1.28,181,86.44,1.13,2489
2019-03-27,GTFS00087,R0000086,BUS,268,270,96.27,12.16,139819,241112,0.764,3415.14,14431.44,3088.36,2035375.28,16.4,177,83.7,1.78,1618
2019-03-28,GTFS00088,R0000087,RAIL,1093,1086,70.06,14.1,196364,120698,1.777,20570.75,16329.25,16363.09,804761.78,8.66,181,70.45,15.78,747
2019-03-29,GTFS00089,R0000088,BUS,737,694,82.99,25.98,99553,25194,0.321,15158.36,9799.75,12817.49,4721699.76,14.03,309,98.86,4.45,752
2019-03-30,GTFS00090,R0000089,BUS,872,738,70.76,17.43,127211,200059,0.987,1836.55,1485.94,1595.31,5923119.58,1.12,161,71.66,9.73,6371
2019-03-31,GTFS00091,R0000090,SUBWAY,742,619,75.16,26.51,159899,3647,1.587,9177.16,2165.89,5942.22,438088.32,10.59,243,74.8,2.96,1658
2019-04-01,GTFS00092,R0000091,TRAM,872,767,77.03,33.34,152044,75259,1.76,20275.0,17714.34,18034.89,367468.58,5.0,464,90.18,4.82,1045
2019-04-02,GTFS00093,R0000092,BUS,723,618,91.06,36.32,119733,122426,0.116,4743.28,5722.42,4638.61,5410243.69,15.89,257,78.28,7.69,239
2019-04-03,GTFS00094,R0000093,BUS,937,849,61.78,28.77,136934,4742,1.761,148.05,5544.29,131.87,6624954.79,8.49,370,80.8,10.74,1725
2019-04-04,GTFS00095,R0000094,RAIL,1432,1216,65.87,22.4,133444,226333,0.109,10000.01,3693.53,6669.46,1839073.72,10.28,288,88.13,10.61,5434
2019-04-05,GTFS00096,R0000095,BUS,1121,1065,59.03,16.75,219588,33588,1.394,13365.95,2793.8,12593.0,5849753.42,17.93,73,82.9,13.87,779
2019-04-06,GTFS00097,R0000096,BUS,1080,1078,66.2,8.63,238129,95408,0.384,922.13,10163.59,906.25,2364663.32,10.41,338,92.76,1.33,3239
2019-04-07,GTFS00098,R0000097,BUS,1378,1384,71.69,35.07,91766,228219,0.193,12116.55,17293.9,7574.48,5969978.39,0.38,336,88.94,14.04,5861
2019-04-08,GTFS00099,R0000098,BUS,274,210,95.11,14.41,232872,208166,0.937,20496.28,3111.0,16215.57,3459694.94,14.26,388,82.57,8.15,4189
2019-04-09,GTFS00100,R0000099,BUS,784,782,87.3,21.22,234776,38149,1.258,6140.32,3131.69,4975.3,2160993.61,11.64,438,91.37,15.33,6027
2019-04-10,GTFS00101,R0000100,BUS,199,198,63.14,8.23,140038,39357,1.319,20731.79,17304.31,15622.75,1285730.73,6.42,28,87.19,10.04,4627
2019-04-11,GTFS00102,R0000101,SUBWAY,724,691,60.37,5.04,186873,156598,1.698,15676.95,5222.63,10005.88,2107060.18,16.64,125,78.89,3.75,6358
