travel_dom_travel_month,travel_dom_destination_dma_code,travel_dom_origin_dma_code,travel_dom_trip_purpose_code,travel_dom_party_size_avg,travel_dom_nights_stayed_avg,travel_dom_lodging_type_code,travel_dom_spend_total_usd,travel_dom_spend_lodging_usd,travel_dom_spend_food_usd,travel_dom_spend_transport_usd,travel_dom_attraction_ticket_spend_usd,travel_dom_booking_channel_code,travel_dom_lead_time_days,travel_dom_cancellation_rate_pct,travel_dom_occupancy_rate_pct,travel_dom_adr_average_daily_rate,travel_dom_revpar_usd,travel_dom_seasonality_cluster,travel_dom_event_driven_demand_flag
2017-01,749,505,LEISURE,3.36,18.99,CAMPING,5996.0,1227.84,1400.09,933.52,481.33,WALK_IN,38,51.119,96.62,150.02,144.95,SPRING,0
2017-02,583,754,LEISURE,5.2,11.58,HOTEL,797.53,282.87,270.59,232.9,111.3,OTA,316,29.413,42.83,392.29,168.02,FALL,0
2017-03,658,608,OUTDOOR,2.35,8.95,FRIENDS_FAMILY,671.94,296.55,162.33,130.73,72.06,WALK_IN,1,30.744,36.15,357.79,129.34,SHOULDER,0
2017-04,568,560,BUSINESS,4.19,18.16,HOTEL,5378.03,2592.37,1508.41,1294.02,880.4,OTA,132,15.202,13.21,263.16,34.76,FALL,0
2017-05,787,786,VISITING_FRIENDS_FAMILY,2.12,19.47,HOTEL,3785.81,1165.86,840.91,496.09,375.01,OTA,157,34.211,15.9,401.96,63.91,SHOULDER,0
2017-06,794,687,MEDICAL,4.63,17.36,FRIENDS_FAMILY,4053.27,1687.43,1247.25,681.74,490.7,OTA,332,56.659,29.27,403.99,118.25,FALL,0
2017-07,776,592,OUTDOOR,5.58,8.92,HOTEL,1512.97,650.53,401.72,414.54,214.0,OTHER,329,11.654,82.26,247.81,203.85,WINTER,1
2017-08,773,686,LEISURE,3.1,9.85,HOTEL,3724.53,1495.12,959.62,825.6,545.47,WALK_IN,82,55.092,69.39,290.67,201.7,SUMMER,0
2017-09,656,634,LEISURE,2.95,9.9,VACATION_RENTAL,616.32,192.54,134.16,107.22,85.16,DIRECT,6,40.614,57.8,261.75,151.29,SUMMER,0
2017-10,760,823,LEISURE,4.74,12.44,MOTEL,2763.42,1318.31,861.85,531.16,156.67,OTA,293,55.865,42.25,406.14,171.59,WINTER,0
2017-11,734,690,VISITING_FRIENDS_FAMILY,5.98,9.07,MOTEL,4207.42,1335.2,1213.92,716.59,49.7,OTHER,62,59.881,80.5,209.56,168.7,WINTER,0
2017-12,758,512,BUSINESS,6.39,9.89,MOTEL,5952.15,2299.97,1246.7,1191.5,208.14,DIRECT,94,26.253,67.43,169.47,114.27,SHOULDER,0
2018-01,648,837,LEISURE,4.7,3.59,MOTEL,4142.43,1845.64,882.71,1144.25,568.07,OTA,84,44.436,42.23,66.56,28.11,FALL,0
2018-02,653,658,LEISURE,4.63,11.97,VACATION_RENTAL,3300.47,1626.15,1001.07,797.53,517.08,OTA,361,45.76,78.3,216.86,169.8,SUMMER,0
2018-03,512,529,OUTDOOR,6.09,1.47,HOTEL,6007.06,2853.11,936.1,1530.98,179.76,WALK_IN,235,40.629,63.96,313.35,200.42,SUMMER,0
2018-04,755,506,BUSINESS,2.59,17.24,HOTEL,6376.16,1808.46,1849.08,1361.41,39.66,DIRECT,89,21.801,34.34,71.42,24.53,SUMMER,0
2018-05,729,670,LEISURE,6.02,10.13,HOTEL,6815.15,2692.29,1686.18,1508.0,511.52,OTA,201,18.397,63.35,328.1,207.85,SUMMER,0
2018-06,678,694,LEISURE,1.2,19.14,FRIENDS_FAMILY,2209.97,457.96,748.51,478.85,160.4,DIRECT,89,50.633,76.27,277.21,211.43,SPRING,0
2018-07,578,777,LEISURE,2.72,13.87,CAMPING,7915.41,2510.64,1208.41,1034.77,1325.38,DIRECT,288,43.025,44.62,155.59,69.42,WINTER,0
2018-08,617,759,EVENT,6.3,11.97,VACATION_RENTAL,4888.55,2349.47,1071.48,935.44,328.93,OTA,332,47.894,61.44,86.28,53.01,SUMMER,0
2018-09,885,799,LEISURE,6.24,18.83,HOTEL,487.28,261.3,115.14,64.14,41.99,OTA,80,56.862,19.32,111.27,21.5,SUMMER,1
2018-10,700,607,LEISURE,1.85,6.41,HOTEL,6159.09,2092.87,1664.72,806.55,967.86,OTHER,341,40.811,59.55,410.22,244.29,FALL,1
2018-11,560,755,BUSINESS,6.46,1.73,MOTEL,6181.17,2837.45,1198.22,1691.07,12.54,OTA,316,20.006,68.22,239.58,163.44,SPRING,0
2018-12,517,502,LEISURE,3.66,13.81,HOTEL,2549.3,958.7,536.98,491.19,393.85,OTHER,42,34.109,22.03,59.32,13.07,SHOULDER,0
2019-01,660,803,LEISURE,6.13,19.77,FRIENDS_FAMILY,5642.04,1064.15,1268.66,1113.51,31.53,OTA,111,26.94,39.49,414.38,163.64,SUMMER,0
2019-02,515,789,LEISURE,1.22,1.22,MOTEL,5038.74,908.14,1615.6,1019.66,114.34,WALK_IN,361,18.265,89.42,279.27,249.72,SHOULDER,0
2019-03,634,755,LEISURE,5.75,5.15,CAMPING,1622.09,336.83,295.31,277.5,77.33,AGENT,26,4.797,40.32,96.31,38.83,SUMMER,0
2019-04,611,836,BUSINESS,2.01,11.42,MOTEL,3443.86,662.39,552.29,653.25,461.02,DIRECT,180,6.323,40.97,168.73,69.13,WINTER,1
2019-05,848,676,BUSINESS,6.14,13.47,HOTEL,7968.35,2911.3,2496.72,1447.31,777.98,CORPORATE_PORTAL,14,57.138,98.63,237.77,234.51,SHOULDER,0
2019-06,623,744,LEISURE,3.34,10.61,CAMPING,6470.05,2283.51,1327.89,1659.9,320.3,CORPORATE_PORTAL,101,8.285,41.25,205.84,84.91,FALL,1
