travel_intl_arrival_year,travel_intl_arrival_month,travel_intl_port_of_entry_air_sea,travel_intl_visitor_country_code,travel_intl_visitor_region_code,travel_intl_purpose_of_trip_code,travel_intl_length_of_stay_days_median,travel_intl_visitor_spend_usd_total,travel_intl_visitor_spend_retail_usd,travel_intl_visitor_spend_lodging_usd,travel_intl_visitor_spend_food_usd,travel_intl_visitor_spend_entertainment_usd,travel_intl_payment_method_share_cash,travel_intl_payment_method_share_card,travel_intl_group_tour_flag,travel_intl_business_travel_flag,travel_intl_visa_waiver_eligible_flag,travel_intl_repeat_visitor_flag,travel_intl_satisfaction_score,travel_intl_exchange_rate_index
2024,5,DFW,ZA,NA,LEISURE,53.21,11852.04,977.03,3180.66,2980.88,904.35,0.6583,0.3503,0,0,0,0,5.57,122.219
2023,3,SEA,SA,EAP,LEISURE,28.34,162.89,25.97,61.46,40.73,28.11,0.7453,0.2377,1,0,0,0,6.681,105.283
2018,2,HOU,DE,EAP,LEISURE,17.39,11957.62,1101.52,3643.62,2541.66,2026.2,0.0333,0.9243,0,0,1,1,2.015,113.106
2013,2,SEA,ES,EU,MEDICAL,45.82,17639.45,3651.01,3801.88,4040.69,2934.01,0.7627,0.243,0,0,0,0,7.569,76.316
2016,8,EWR,KR,LATAM,LEISURE,28.27,12669.41,1784.99,5203.82,1639.02,2144.92,0.5278,0.4397,0,0,1,0,4.147,76.903
2022,4,MIA,ES,NA,BUSINESS,48.85,16367.11,2074.37,5523.26,4461.92,2198.07,0.3595,0.6341,0,1,0,0,3.708,89.581
2015,7,SFO,MX,EU,LEISURE,40.17,15510.49,3834.36,4624.05,4607.99,2612.78,0.7648,0.2371,1,0,1,0,2.424,74.238
2015,3,ATL,NZ,NA,LEISURE,22.26,15878.33,2206.02,6897.25,4277.95,2668.94,0.51,0.5242,0,0,0,1,6.201,120.131
2017,11,FLL,NZ,LATAM,LEISURE,43.16,17529.37,2018.28,4313.64,4179.62,2448.05,0.375,0.6163,0,0,0,0,2.826,85.138
2020,5,BOS,IT,LATAM,LEISURE,25.03,24532.03,5483.07,9303.39,4723.5,3149.76,0.0671,0.932,0,0,0,0,8.919,129.468
2021,5,HOU,IT,EU,LEISURE,11.59,17504.62,3394.28,7154.4,2520.64,1720.61,0.7342,0.2884,0,0,0,0,8.59,112.234
2021,9,DFW,SA,EU,BUSINESS,13.12,1120.31,220.82,288.9,290.83,69.42,0.0996,0.9251,0,1,0,0,6.249,130.699
2025,12,ATL,AE,EAP,LEISURE,27.14,3088.13,599.75,1254.99,581.18,308.16,0.8509,0.1764,1,0,1,1,7.778,138.624
2022,8,ATL,CA,EU,LEISURE,10.9,19680.18,2788.41,5914.77,4709.0,3372.97,0.5103,0.4652,0,0,1,0,5.799,127.871
2024,2,LAX,GB,EU,STUDY,52.42,13580.23,1509.12,5634.94,3857.34,2039.75,0.8365,0.1519,0,0,1,0,5.53,120.358
2021,11,ATL,CA,EU,LEISURE,14.03,6768.27,788.25,2252.96,1619.56,657.78,0.0673,0.9054,0,0,1,0,6.868,81.767
2022,10,HOU,CA,NA,LEISURE,11.5,20786.69,5124.97,9044.31,5254.84,1443.69,0.0462,0.9254,0,0,1,1,5.284,138.839
2019,12,HOU,IN,EU,LEISURE,19.91,6154.26,1449.38,1331.3,1823.77,438.66,0.0285,0.9435,0,0,0,1,7.868,131.543
2019,4,ATL,MX,LATAM,BUSINESS,27.31,9068.48,862.59,2040.11,2700.58,747.34,0.9019,0.1419,0,1,1,1,2.49,95.783
2024,9,HOU,IT,SAS,LEISURE,18.71,17293.23,2372.42,5889.34,2792.27,2120.05,0.4331,0.6165,1,0,0,0,8.269,102.585
2020,2,JFK,GB,SSA,LEISURE,23.07,17626.1,3321.41,5878.24,3896.58,3051.88,0.7543,0.2369,0,0,0,0,9.442,108.268
2014,8,SEA,JP,EU,LEISURE,43.05,14534.94,3386.41,3920.93,2403.55,1114.47,0.0127,1.0,0,1,1,1,2.792,104.462
